loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5864),-264.51966509843027,-13.225983254921513,0,125.14494395256042,False,,,1,44e20220d09e4e88850982be014c2980,2020-08-17_21-52-09,1597701129,125.14494395256042,64406,cpus,10.142.0.3,125.14494395256042,0,1,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.7767),-169.7277912392848,-21.712372816885754,1,125.17333316802979,False,,,2,44e20220d09e4e88850982be014c2980,2020-08-17_21-54-15,1597701255,250.3182771205902,64406,cpus,10.142.0.3,250.3182771205902,0,2,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.6746),-91.42596532537046,-26.28367108315428,2,123.89100790023804,False,,,3,44e20220d09e4e88850982be014c2980,2020-08-17_21-56-18,1597701378,374.20928502082825,64406,cpus,10.142.0.3,374.20928502082825,0,3,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5400),-63.85970780600968,-29.47665647345476,3,121.32053303718567,False,,,4,44e20220d09e4e88850982be014c2980,2020-08-17_21-58-20,1597701500,495.5298180580139,64406,cpus,10.142.0.3,495.5298180580139,0,4,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3955),-79.28907725547036,-33.44111033622828,4,124.44877290725708,False,,,5,44e20220d09e4e88850982be014c2980,2020-08-17_22-00-24,1597701624,619.978590965271,64406,cpus,10.142.0.3,619.978590965271,0,5,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2927),-135.36652478799869,-40.20943657562822,5,116.58997416496277,False,,,6,44e20220d09e4e88850982be014c2980,2020-08-17_22-02-21,1597701741,736.5685651302338,64406,cpus,10.142.0.3,736.5685651302338,0,6,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1574),-54.102593193249696,-42.91456623529071,6,123.44375610351562,False,,,7,44e20220d09e4e88850982be014c2980,2020-08-17_22-04-24,1597701864,860.0123212337494,64406,cpus,10.142.0.3,860.0123212337494,0,7,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0418),-81.31819391960633,-46.980475931271016,7,118.0501697063446,False,,,8,44e20220d09e4e88850982be014c2980,2020-08-17_22-06-22,1597701982,978.062490940094,64406,cpus,10.142.0.3,978.062490940094,0,8,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0721),-24.315187304393138,-48.19623529649068,8,121.52856087684631,False,,,9,44e20220d09e4e88850982be014c2980,2020-08-17_22-08-24,1597702104,1099.5910518169403,64406,cpus,10.142.0.3,1099.5910518169403,0,9,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0655),-51.443129925773874,-50.76839179277937,9,138.3538908958435,False,,,10,44e20220d09e4e88850982be014c2980,2020-08-17_22-10-42,1597702242,1237.9449427127838,64406,cpus,10.142.0.3,1237.9449427127838,0,10,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0115),-168.85551128770973,-59.211167357164854,10,138.97869753837585,False,,,11,44e20220d09e4e88850982be014c2980,2020-08-17_22-13-01,1597702381,1376.9236402511597,64406,cpus,10.142.0.3,1376.9236402511597,0,11,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0365),-64.7458140344211,-62.44845805888591,11,130.53246092796326,False,,,12,44e20220d09e4e88850982be014c2980,2020-08-17_22-15-12,1597702512,1507.456101179123,64406,cpus,10.142.0.3,1507.456101179123,0,12,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0479),-351.6434365051036,-80.03062988414109,12,127.41556119918823,False,,,13,44e20220d09e4e88850982be014c2980,2020-08-17_22-17-19,1597702639,1634.8716623783112,64406,cpus,10.142.0.3,1634.8716623783112,0,13,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(0.9886),-269.67745203042506,-93.51450248566235,13,126.2830638885498,False,,,14,44e20220d09e4e88850982be014c2980,2020-08-17_22-19-25,1597702765,1761.154726266861,64406,cpus,10.142.0.3,1761.154726266861,0,14,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0142),-315.1896919666468,-109.27398708399468,14,129.2545986175537,False,,,15,44e20220d09e4e88850982be014c2980,2020-08-17_22-21-35,1597702895,1890.4093248844147,64406,cpus,10.142.0.3,1890.4093248844147,0,15,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(0.9890),-212.53262583684455,-119.90061837583691,15,139.70029067993164,False,,,16,44e20220d09e4e88850982be014c2980,2020-08-17_22-23-54,1597703034,2030.1096155643463,64406,cpus,10.142.0.3,2030.1096155643463,0,16,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(0.9542),-64.15198974474401,-123.1082178630741,16,126.49424433708191,False,,,17,44e20220d09e4e88850982be014c2980,2020-08-17_22-26-01,1597703161,2156.603859901428,64406,cpus,10.142.0.3,2156.603859901428,0,17,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(0.9481),-27.548984298939786,-124.48566707802111,17,127.00988721847534,False,,,18,44e20220d09e4e88850982be014c2980,2020-08-17_22-28-08,1597703288,2283.6137471199036,64406,cpus,10.142.0.3,2283.6137471199036,0,18,9af74_00000,"0_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
