loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7258),-264.51966509843027,-13.225983254921513,0,122.51596975326538,False,,,1,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_21-52-07,1597701127,122.51596975326538,64394,cpus,10.142.0.3,122.51596975326538,0,1,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.8547),-169.7277912392848,-21.712372816885754,1,122.3393771648407,False,,,2,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_21-54-10,1597701250,244.85534691810608,64394,cpus,10.142.0.3,244.85534691810608,0,2,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.7070),-89.95196795293552,-26.209971214532533,2,122.73885917663574,False,,,3,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_21-56-12,1597701372,367.5942060947418,64394,cpus,10.142.0.3,367.5942060947418,0,3,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6656),-48.84355526432044,-28.652148977748556,3,121.69928336143494,False,,,4,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_21-58-14,1597701494,489.29348945617676,64394,cpus,10.142.0.3,489.29348945617676,0,4,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3721),-80.65444766524287,-32.6848713610107,4,138.9829761981964,False,,,5,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-00-33,1597701633,628.2764656543732,64394,cpus,10.142.0.3,628.2764656543732,0,5,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3515),-96.11974906665725,-37.49085881434356,5,124.59183120727539,False,,,6,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-02-38,1597701758,752.8682968616486,64394,cpus,10.142.0.3,752.8682968616486,0,6,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2796),-66.02982157846002,-40.79234989326656,6,135.94833731651306,False,,,7,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-04-53,1597701893,888.8166341781616,64394,cpus,10.142.0.3,888.8166341781616,0,7,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3052),-42.2574043861109,-42.90522011257211,7,131.5715000629425,False,,,8,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-07-05,1597702025,1020.3881342411041,64394,cpus,10.142.0.3,1020.3881342411041,0,8,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2468),-65.943690941698,-46.202404659657006,8,148.9076976776123,False,,,9,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-09-34,1597702174,1169.2958319187164,64394,cpus,10.142.0.3,1169.2958319187164,0,9,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3085),-69.61664000649702,-49.68323665998186,9,164.08148860931396,False,,,10,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-12-18,1597702338,1333.3773205280304,64394,cpus,10.142.0.3,1333.3773205280304,0,10,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2515),-128.57383116200958,-56.11192821808233,10,155.38002228736877,False,,,11,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-14-53,1597702493,1488.7573428153992,64394,cpus,10.142.0.3,1488.7573428153992,0,11,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1864),-28.931837200160754,-57.558520078090375,11,140.57052087783813,False,,,12,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-17-14,1597702634,1629.3278636932373,64394,cpus,10.142.0.3,1629.3278636932373,0,12,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.0718),-24.629006572328944,-58.78997040670682,12,161.29671430587769,False,,,13,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-19-55,1597702795,1790.624577999115,64394,cpus,10.142.0.3,1790.624577999115,0,13,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2409),-14.526425086049766,-59.51629166100931,13,165.34368085861206,False,,,14,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-22-41,1597702961,1955.968258857727,64394,cpus,10.142.0.3,1955.968258857727,0,14,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3733),-23.190724145243472,-60.67582786827148,14,157.42880201339722,False,,,15,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-25-18,1597703118,2113.3970608711243,64394,cpus,10.142.0.3,2113.3970608711243,0,15,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2068),8.288757888979484,-60.26138997382251,15,159.2767848968506,False,,,16,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-27-57,1597703277,2272.673845767975,64394,cpus,10.142.0.3,2272.673845767975,0,16,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5382),10.952627357782003,-59.713758605933414,16,176.74482822418213,False,,,17,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-30-54,1597703454,2449.418673992157,64394,cpus,10.142.0.3,2449.418673992157,0,17,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.0913),-35.07427533262181,-61.4674723725645,17,160.78536128997803,False,,,18,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-33-35,1597703615,2610.204035282135,64394,cpus,10.142.0.3,2610.204035282135,0,18,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3117),-6.235320565423139,-61.77923840083565,18,178.50712490081787,False,,,19,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-36-33,1597703793,2788.711160182953,64394,cpus,10.142.0.3,2788.711160182953,0,19,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2334),-41.71282650120109,-63.864879725895705,19,160.56157112121582,False,,,20,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-39-14,1597703954,2949.2727313041687,64394,cpus,10.142.0.3,2949.2727313041687,0,20,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2349),12.109119555805782,-50.03344049318392,20,158.87450861930847,False,,,21,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-41-53,1597704113,3108.147239923477,64394,cpus,10.142.0.3,3108.147239923477,0,21,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1675),-65.18351676151636,-44.80622676929549,21,176.79531359672546,False,,,22,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-44-50,1597704290,3284.9425535202026,64394,cpus,10.142.0.3,3284.9425535202026,0,22,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4638),-184.40497653015672,-49.52887719815654,22,160.43307614326477,False,,,23,03e8460e8f59405aaf0fb6b578517dfa,2020-08-17_22-47-30,1597704450,3445.3756296634674,64394,cpus,10.142.0.3,3445.3756296634674,0,23,9af74_00010,"10_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
