loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.8672),-264.51966509843027,-13.225983254921513,0,91.05874013900757,False,,,1,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_21-51-36,1597701096,91.05874013900757,64391,cpus,10.142.0.3,91.05874013900757,0,1,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.8918),-207.20395318170836,-23.58618091400693,1,88.59832262992859,False,,,2,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_21-53-04,1597701184,179.65706276893616,64391,cpus,10.142.0.3,179.65706276893616,0,2,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6795),-121.74656986352639,-29.673509407183253,2,98.86851644515991,False,,,3,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_21-54-43,1597701283,278.52557921409607,64391,cpus,10.142.0.3,278.52557921409607,0,3,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6210),-103.00504975952182,-34.82376189515934,3,91.4776496887207,False,,,4,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_21-56-15,1597701375,370.0032289028168,64391,cpus,10.142.0.3,370.0032289028168,0,4,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5052),-87.08569833085744,-39.17804681170222,4,93.59561800956726,False,,,5,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_21-57-48,1597701468,463.59884691238403,64391,cpus,10.142.0.3,463.59884691238403,0,5,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5219),-78.50177505099475,-43.10313556425196,5,91.27943181991577,False,,,6,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_21-59-19,1597701559,554.8782787322998,64391,cpus,10.142.0.3,554.8782787322998,0,6,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4163),-75.03614284461182,-46.85494270648255,6,94.27259874343872,False,,,7,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_22-00-54,1597701654,649.1508774757385,64391,cpus,10.142.0.3,649.1508774757385,0,7,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3847),-68.25556258457611,-50.26772083571135,7,88.2476556301117,False,,,8,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_22-02-22,1597701742,737.3985331058502,64391,cpus,10.142.0.3,737.3985331058502,0,8,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3529),-65.48120705898654,-53.54178118866067,8,94.08387923240662,False,,,9,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_22-03-56,1597701836,831.4824123382568,64391,cpus,10.142.0.3,831.4824123382568,0,9,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2620),-63.25991472062772,-56.704776924692055,9,90.70533728599548,False,,,10,6fc82087d8fa4ca58cec8053f64154f3,2020-08-17_22-05-27,1597701927,922.1877496242523,64391,cpus,10.142.0.3,922.1877496242523,0,10,9af74_00011,"11_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
