loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7360),-264.51966509843027,-13.225983254921513,0,125.65266990661621,False,,,1,83edc7702c344a409489413f0f74de91,2020-08-17_21-52-10,1597701130,125.65266990661621,64350,cpus,10.142.0.3,125.65266990661621,0,1,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.8686),-169.7277912392848,-21.712372816885754,1,122.87919116020203,False,,,2,83edc7702c344a409489413f0f74de91,2020-08-17_21-54-13,1597701253,248.53186106681824,64350,cpus,10.142.0.3,248.53186106681824,0,2,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.8713),-82.55753332102805,-25.840249482937157,2,121.49283027648926,False,,,3,83edc7702c344a409489413f0f74de91,2020-08-17_21-56-15,1597701375,370.0246913433075,64350,cpus,10.142.0.3,370.0246913433075,0,3,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6722),-49.06881244169765,-28.29369010502204,3,119.43327903747559,False,,,4,83edc7702c344a409489413f0f74de91,2020-08-17_21-58-14,1597701494,489.4579703807831,64350,cpus,10.142.0.3,489.4579703807831,0,4,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6597),-80.12798178502322,-32.3000891942732,4,132.93520760536194,False,,,5,83edc7702c344a409489413f0f74de91,2020-08-17_22-00-27,1597701627,622.393177986145,64350,cpus,10.142.0.3,622.393177986145,0,5,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4281),-83.92300518694167,-36.49623945362028,5,123.66457939147949,False,,,6,83edc7702c344a409489413f0f74de91,2020-08-17_22-02-31,1597701751,746.0577573776245,64350,cpus,10.142.0.3,746.0577573776245,0,6,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4055),-48.862698586080604,-38.939374382924306,6,140.83349442481995,False,,,7,83edc7702c344a409489413f0f74de91,2020-08-17_22-04-51,1597701891,886.8912518024445,64350,cpus,10.142.0.3,886.8912518024445,0,7,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2442),-70.55834729492719,-42.46729174767067,7,127.43009781837463,False,,,8,83edc7702c344a409489413f0f74de91,2020-08-17_22-06-59,1597702019,1014.3213496208191,64350,cpus,10.142.0.3,1014.3213496208191,0,8,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3212),-62.11489510791489,-45.57303650306641,8,145.90166425704956,False,,,9,83edc7702c344a409489413f0f74de91,2020-08-17_22-09-25,1597702165,1160.2230138778687,64350,cpus,10.142.0.3,1160.2230138778687,0,9,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3831),-57.51331361074252,-48.448702183603544,9,156.92107582092285,False,,,10,83edc7702c344a409489413f0f74de91,2020-08-17_22-12-02,1597702322,1317.1440896987915,64350,cpus,10.142.0.3,1317.1440896987915,0,10,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2920),-45.82908708012555,-50.74015653760982,10,159.60713076591492,False,,,11,83edc7702c344a409489413f0f74de91,2020-08-17_22-14-41,1597702481,1476.7512204647064,64350,cpus,10.142.0.3,1476.7512204647064,0,11,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3369),-58.82060728995823,-53.68118690210773,11,126.18674969673157,False,,,12,83edc7702c344a409489413f0f74de91,2020-08-17_22-16-48,1597702608,1602.937970161438,64350,cpus,10.142.0.3,1602.937970161438,0,12,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2387),-65.98518039632845,-56.98044592192415,12,127.70240449905396,False,,,13,83edc7702c344a409489413f0f74de91,2020-08-17_22-18-55,1597702735,1730.640374660492,64350,cpus,10.142.0.3,1730.640374660492,0,13,9af74_00012,"12_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
