loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.9496),-264.51966509843027,-13.225983254921513,0,99.385098695755,False,,,1,331e0f0315734891817738f076a64bf8,2020-08-17_21-51-44,1597701104,99.385098695755,64403,cpus,10.142.0.3,99.385098695755,0,1,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.9260),-207.20395318170836,-23.58618091400693,1,94.23785018920898,False,,,2,331e0f0315734891817738f076a64bf8,2020-08-17_21-53-18,1597701198,193.622948884964,64403,cpus,10.142.0.3,193.622948884964,0,2,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.7296),-95.24457409183647,-28.348409618598755,2,101.11589527130127,False,,,3,331e0f0315734891817738f076a64bf8,2020-08-17_21-54-59,1597701299,294.73884415626526,64403,cpus,10.142.0.3,294.73884415626526,0,3,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6634),-102.71592490381602,-33.484205863789555,3,93.29286193847656,False,,,4,331e0f0315734891817738f076a64bf8,2020-08-17_21-56-33,1597701393,388.0317060947418,64403,cpus,10.142.0.3,388.0317060947418,0,4,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5358),-81.14487037004649,-37.54144938229188,4,94.81102466583252,False,,,5,331e0f0315734891817738f076a64bf8,2020-08-17_21-58-07,1597701487,482.84273076057434,64403,cpus,10.142.0.3,482.84273076057434,0,5,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5218),-79.76846544052779,-41.529872654318275,5,95.63733410835266,False,,,6,331e0f0315734891817738f076a64bf8,2020-08-17_21-59-43,1597701583,578.480064868927,64403,cpus,10.142.0.3,578.480064868927,0,6,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5064),-76.73840309643214,-45.36679280913988,6,92.64717483520508,False,,,7,331e0f0315734891817738f076a64bf8,2020-08-17_22-01-16,1597701676,671.1272397041321,64403,cpus,10.142.0.3,671.1272397041321,0,7,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4026),-70.20149950159757,-48.87686778421976,7,89.61742544174194,False,,,8,331e0f0315734891817738f076a64bf8,2020-08-17_22-02-45,1597701765,760.744665145874,64403,cpus,10.142.0.3,760.744665145874,0,8,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4259),-71.04565700785606,-52.42915063461256,8,97.38072276115417,False,,,9,331e0f0315734891817738f076a64bf8,2020-08-17_22-04-23,1597701863,858.1253879070282,64403,cpus,10.142.0.3,858.1253879070282,0,9,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3589),-67.26923530193102,-55.792612399709114,9,90.77064609527588,False,,,10,331e0f0315734891817738f076a64bf8,2020-08-17_22-05-53,1597701953,948.8960340023041,64403,cpus,10.142.0.3,948.8960340023041,0,10,9af74_00013,"13_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
