loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.8191),-264.51966509843027,-13.225983254921513,0,115.15483331680298,False,,,1,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_21-52-00,1597701120,115.15483331680298,64351,cpus,10.142.0.3,115.15483331680298,0,1,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.9068),-169.7277912392848,-21.712372816885754,1,119.01545643806458,False,,,2,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_21-53-59,1597701239,234.17028975486755,64351,cpus,10.142.0.3,234.17028975486755,0,2,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.9517),-124.12203903566694,-27.918474768669103,2,119.36239266395569,False,,,3,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_21-55-58,1597701358,353.53268241882324,64351,cpus,10.142.0.3,353.53268241882324,0,3,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.9170),-104.56055751334779,-33.14650264433649,3,119.80973267555237,False,,,4,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_21-57-58,1597701478,473.3424150943756,64351,cpus,10.142.0.3,473.3424150943756,0,4,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.7890),-115.53322839484633,-38.92316406407881,4,119.89269614219666,False,,,5,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_21-59-58,1597701598,593.2351112365723,64351,cpus,10.142.0.3,593.2351112365723,0,5,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6785),-126.05451225191443,-45.22588967667453,5,117.50088357925415,False,,,6,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-01-55,1597701715,710.7359948158264,64351,cpus,10.142.0.3,710.7359948158264,0,6,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3707),-106.90565391585623,-50.57117237246734,6,118.3571548461914,False,,,7,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-03-54,1597701834,829.0931496620178,64351,cpus,10.142.0.3,829.0931496620178,0,7,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3779),-73.38890268453144,-54.24061750669391,7,116.78542923927307,False,,,8,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-05-50,1597701950,945.8785789012909,64351,cpus,10.142.0.3,945.8785789012909,0,8,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1700),-59.996899060220926,-57.240462459704965,8,115.73389530181885,False,,,9,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-07-46,1597702066,1061.6124742031097,64351,cpus,10.142.0.3,1061.6124742031097,0,9,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2226),-90.85488786610466,-61.7832068530102,9,127.67754745483398,False,,,10,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-09-54,1597702194,1189.2900216579437,64351,cpus,10.142.0.3,1189.2900216579437,0,10,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1727),-84.92482469290444,-66.02944808765542,10,134.9691927433014,False,,,11,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-12-09,1597702329,1324.2592144012451,64351,cpus,10.142.0.3,1324.2592144012451,0,11,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1497),-88.81215500772238,-70.47005583804153,11,131.88464641571045,False,,,12,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-14-21,1597702461,1456.1438608169556,64351,cpus,10.142.0.3,1456.1438608169556,0,12,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1656),-94.79558648686307,-75.20983516238469,12,114.70017194747925,False,,,13,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-16-15,1597702575,1570.8440327644348,64351,cpus,10.142.0.3,1570.8440327644348,0,13,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2384),-109.38234493105224,-80.6789524089373,13,113.57027888298035,False,,,14,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-18-09,1597702689,1684.4143116474152,64351,cpus,10.142.0.3,1684.4143116474152,0,14,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1901),-67.56878326431914,-84.05739157215326,14,114.28183007240295,False,,,15,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-20-03,1597702803,1798.6961417198181,64351,cpus,10.142.0.3,1798.6961417198181,0,15,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2019),-80.19948283005154,-88.06736571365585,15,114.10852456092834,False,,,16,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-21-57,1597702917,1912.8046662807465,64351,cpus,10.142.0.3,1912.8046662807465,0,16,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.0950),-102.58669736217855,-93.19670058176476,16,114.8396303653717,False,,,17,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-23-52,1597703032,2027.6442966461182,64351,cpus,10.142.0.3,2027.6442966461182,0,17,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2834),-92.98953142865557,-97.84617715319754,17,114.37722945213318,False,,,18,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-25-47,1597703147,2142.0215260982513,64351,cpus,10.142.0.3,2142.0215260982513,0,18,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1797),-96.00182704905771,-102.64626850565041,18,114.48433780670166,False,,,19,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-27-41,1597703261,2256.505863904953,64351,cpus,10.142.0.3,2256.505863904953,0,19,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.0073),-81.23576682463445,-106.70805684688214,19,114.86494421958923,False,,,20,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-29-36,1597703376,2371.3708081245422,64351,cpus,10.142.0.3,2371.3708081245422,0,20,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1321),-82.89129891804409,-97.62663853786283,20,114.99128150939941,False,,,21,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-31-31,1597703491,2486.3620896339417,64351,cpus,10.142.0.3,2486.3620896339417,0,21,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1508),-99.6499657409879,-94.122747262948,21,114.80794906616211,False,,,22,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-33-26,1597703606,2601.1700387001038,64351,cpus,10.142.0.3,2601.1700387001038,0,22,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1207),-122.51360865036938,-94.04232574368311,22,115.63853716850281,False,,,23,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-35-21,1597703721,2716.8085758686066,64351,cpus,10.142.0.3,2716.8085758686066,0,23,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2360),-107.66110203686772,-94.19735296985911,23,114.91562938690186,False,,,24,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-37-16,1597703836,2831.7242052555084,64351,cpus,10.142.0.3,2831.7242052555084,0,24,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.0744),-99.54068537090328,-93.39772581866197,24,114.42505860328674,False,,,25,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-39-11,1597703951,2946.149263858795,64351,cpus,10.142.0.3,2946.149263858795,0,25,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.1276),-81.96958897448489,-91.1934796547905,25,115.1494209766388,False,,,26,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-41-06,1597704066,3061.298684835434,64351,cpus,10.142.0.3,3061.298684835434,0,26,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(1.0554),-55.2263318541231,-88.60951355170383,26,115.69451856613159,False,,,27,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-43-02,1597704182,3176.9932034015656,64351,cpus,10.142.0.3,3176.9932034015656,0,27,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
tensor(0.9789),-87.7836670283332,-89.32925176889393,27,114.63278579711914,False,,,28,ed04726c3f1a43faa551b0aec73055b4,2020-08-17_22-44-56,1597704296,3291.6259891986847,64351,cpus,10.142.0.3,3291.6259891986847,0,28,9af74_00014,"14_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=25"
