loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4570),-264.51966509843027,-13.225983254921513,0,126.07999110221863,False,,,1,784ca18cdb394b08bbe51769867706a7,2020-08-17_21-52-11,1597701131,126.07999110221863,64362,cpus,10.142.0.3,126.07999110221863,0,1,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6861),-169.7277912392848,-21.712372816885754,1,127.93427324295044,False,,,2,784ca18cdb394b08bbe51769867706a7,2020-08-17_21-54-19,1597701259,254.01426434516907,64362,cpus,10.142.0.3,254.01426434516907,0,2,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5449),-136.64109638638553,-28.544427636205036,2,127.22207474708557,False,,,3,784ca18cdb394b08bbe51769867706a7,2020-08-17_21-56-26,1597701386,381.23633909225464,64362,cpus,10.142.0.3,381.23633909225464,0,3,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5009),-139.20206110270368,-35.50453069134022,3,125.95177173614502,False,,,4,784ca18cdb394b08bbe51769867706a7,2020-08-17_21-58-32,1597701512,507.18811082839966,64362,cpus,10.142.0.3,507.18811082839966,0,4,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4960),-165.4488478452435,-43.7769730836024,4,129.19615817070007,False,,,5,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-00-41,1597701641,636.3842689990997,64362,cpus,10.142.0.3,636.3842689990997,0,5,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6624),-161.10142100746194,-51.8320441339755,5,122.26346373558044,False,,,6,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-02-43,1597701763,758.6477327346802,64362,cpus,10.142.0.3,758.6477327346802,0,6,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5765),-141.8353232051385,-58.92381029423243,6,128.23401713371277,False,,,7,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-04-52,1597701892,886.881749868393,64362,cpus,10.142.0.3,886.881749868393,0,7,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3437),-181.5546137308549,-68.00154098077518,7,121.54682326316833,False,,,8,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-06-53,1597702013,1008.4285731315613,64362,cpus,10.142.0.3,1008.4285731315613,0,8,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4257),-180.8577405555136,-77.04442800855085,8,129.7237856388092,False,,,9,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-09-03,1597702143,1138.1523587703705,64362,cpus,10.142.0.3,1138.1523587703705,0,9,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4441),-164.74958621231858,-85.28190731916678,9,143.10750436782837,False,,,10,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-11-26,1597702286,1281.2598631381989,64362,cpus,10.142.0.3,1281.2598631381989,0,10,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3061),-212.24117364958914,-95.89396600164625,10,138.72419786453247,False,,,11,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-13-45,1597702425,1419.9840610027313,64362,cpus,10.142.0.3,1419.9840610027313,0,11,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2906),-167.80339630628214,-104.28413581696036,11,125.84179520606995,False,,,12,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-15-50,1597702550,1545.8258562088013,64362,cpus,10.142.0.3,1545.8258562088013,0,12,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3504),-161.71835387815094,-112.3700535108679,12,120.8008599281311,False,,,13,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-17-51,1597702671,1666.6267161369324,64362,cpus,10.142.0.3,1666.6267161369324,0,13,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1494),-160.3540942883494,-120.38775822528537,13,121.32383441925049,False,,,14,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-19-53,1597702793,1787.9505505561829,64362,cpus,10.142.0.3,1787.9505505561829,0,14,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2386),-157.2803468224225,-128.25177556640648,14,120.7172040939331,False,,,15,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-21-53,1597702913,1908.667754650116,64362,cpus,10.142.0.3,1908.667754650116,0,15,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2476),-146.1068192755094,-135.55711653018196,15,121.07474684715271,False,,,16,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-23-54,1597703034,2029.7425014972687,64362,cpus,10.142.0.3,2029.7425014972687,0,16,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2234),-163.39850879419205,-143.72704196989156,16,121.8224925994873,False,,,17,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-25-56,1597703156,2151.564994096756,64362,cpus,10.142.0.3,2151.564994096756,0,17,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2017),-151.96480223040064,-151.32528208141156,17,121.54601168632507,False,,,18,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-27-58,1597703278,2273.111005783081,64362,cpus,10.142.0.3,2273.111005783081,0,18,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1907),-185.7674644993846,-160.6136553063808,18,121.93688488006592,False,,,19,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-30-00,1597703400,2395.047890663147,64362,cpus,10.142.0.3,2395.047890663147,0,19,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2439),-170.3784627834637,-169.13257844555397,19,122.51356220245361,False,,,20,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-32-02,1597703522,2517.5614528656006,64362,cpus,10.142.0.3,2517.5614528656006,0,20,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1513),-176.73340183399569,-164.74326528233223,20,121.75333046913147,False,,,21,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-34-04,1597703644,2639.314783334732,64362,cpus,10.142.0.3,2639.314783334732,0,21,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3285),-198.7310904500955,-166.19343024287278,21,121.83201766014099,False,,,22,784ca18cdb394b08bbe51769867706a7,2020-08-17_22-36-06,1597703766,2761.146800994873,64362,cpus,10.142.0.3,2761.146800994873,0,22,9af74_00016,"16_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
