loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4393),-264.51966509843027,-13.225983254921513,0,102.19150280952454,False,,,1,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_21-51-47,1597701107,102.19150280952454,64346,cpus,10.142.0.3,102.19150280952454,0,1,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.8180),-207.20395318170836,-23.58618091400693,1,98.24967861175537,False,,,2,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_21-53-25,1597701205,200.4411814212799,64346,cpus,10.142.0.3,200.4411814212799,0,2,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5689),-160.23624157442794,-31.597992992728326,2,105.82294344902039,False,,,3,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_21-55-11,1597701311,306.2641248703003,64346,cpus,10.142.0.3,306.2641248703003,0,3,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5841),-133.06085639125894,-38.25103581229128,3,101.26250886917114,False,,,4,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_21-56-52,1597701412,407.52663373947144,64346,cpus,10.142.0.3,407.52663373947144,0,4,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5102),-82.46607359510708,-42.37433949204663,4,100.63199758529663,False,,,5,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_21-58-33,1597701513,508.15863132476807,64346,cpus,10.142.0.3,508.15863132476807,0,5,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4305),-110.34791244973647,-47.891735114533454,5,102.34145712852478,False,,,6,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-00-15,1597701615,610.5000884532928,64346,cpus,10.142.0.3,610.5000884532928,0,6,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3457),-114.64694740729931,-53.624082484898416,6,97.05655670166016,False,,,7,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-01-52,1597701712,707.556645154953,64346,cpus,10.142.0.3,707.556645154953,0,7,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3383),-142.99580388050566,-60.7738726789237,7,98.4638090133667,False,,,8,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-03-31,1597701811,806.0204541683197,64346,cpus,10.142.0.3,806.0204541683197,0,8,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3404),-106.01012666527556,-66.07437901218748,8,99.49993681907654,False,,,9,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-05-10,1597701910,905.5203909873962,64346,cpus,10.142.0.3,905.5203909873962,0,9,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2957),-76.74034627046716,-69.91139632571084,9,96.1024899482727,False,,,10,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-06-46,1597702006,1001.622880935669,64346,cpus,10.142.0.3,1001.622880935669,0,10,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2268),-103.46514797668286,-75.08465372454498,10,100.22231316566467,False,,,11,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-08-27,1597702107,1101.8451941013336,64346,cpus,10.142.0.3,1101.8451941013336,0,11,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2738),-48.21761248691979,-77.49553434889097,11,111.19459271430969,False,,,12,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-10-18,1597702218,1213.0397868156433,64346,cpus,10.142.0.3,1213.0397868156433,0,12,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2304),-40.659834394984095,-79.52852606864016,12,110.21653532981873,False,,,13,6de4ff3511d34e80b713fac5f0503a70,2020-08-17_22-12-08,1597702328,1323.256322145462,64346,cpus,10.142.0.3,1323.256322145462,0,13,9af74_00017,"17_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
