loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6504),-264.51966509843027,-13.225983254921513,0,123.79295706748962,False,,,1,3da4555346e24bcd9d26befe4d78b379,2020-08-17_21-52-08,1597701128,123.79295706748962,64370,cpus,10.142.0.3,123.79295706748962,0,1,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7558),-169.7277912392848,-21.712372816885754,1,124.52501773834229,False,,,2,3da4555346e24bcd9d26befe4d78b379,2020-08-17_21-54-13,1597701253,248.3179748058319,64370,cpus,10.142.0.3,248.3179748058319,0,2,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6623),-69.02557376104781,-25.163651504938144,2,123.75438785552979,False,,,3,3da4555346e24bcd9d26befe4d78b379,2020-08-17_21-56-17,1597701377,372.0723626613617,64370,cpus,10.142.0.3,372.0723626613617,0,3,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4229),-63.699629777206454,-28.348632993798468,3,122.11244344711304,False,,,4,3da4555346e24bcd9d26befe4d78b379,2020-08-17_21-58-19,1597701499,494.18480610847473,64370,cpus,10.142.0.3,494.18480610847473,0,4,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3096),-49.643091407891276,-30.83078756419303,4,124.7458906173706,False,,,5,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-00-24,1597701624,618.9306967258453,64370,cpus,10.142.0.3,618.9306967258453,0,5,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2897),-42.48981178797702,-32.955278153591884,5,116.85248923301697,False,,,6,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-02-20,1597701740,735.7831859588623,64370,cpus,10.142.0.3,735.7831859588623,0,6,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.0765),-38.57270043695331,-34.883913175439545,6,122.04031300544739,False,,,7,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-04-22,1597701862,857.8234989643097,64370,cpus,10.142.0.3,857.8234989643097,0,7,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2025),-38.69870030680199,-36.81884819077965,7,117.06543850898743,False,,,8,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-06-20,1597701980,974.8889374732971,64370,cpus,10.142.0.3,974.8889374732971,0,8,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.9990),-53.40533131853,-39.489114756706144,8,138.9267098903656,False,,,9,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-08-38,1597702118,1113.8156473636627,64370,cpus,10.142.0.3,1113.8156473636627,0,9,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.9201),-69.3145380682706,-42.954841660119676,9,149.67431044578552,False,,,10,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-11-08,1597702268,1263.4899578094482,64370,cpus,10.142.0.3,1263.4899578094482,0,10,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.9156),-39.888680769610936,-44.949275698600225,10,156.00851798057556,False,,,11,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-13-44,1597702424,1419.4984757900238,64370,cpus,10.142.0.3,1419.4984757900238,0,11,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.8628),-106.8622807187566,-50.29238973453805,11,139.87891221046448,False,,,12,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-16-04,1597702564,1559.3773880004883,64370,cpus,10.142.0.3,1559.3773880004883,0,12,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.8529),-85.33113967417343,-54.55894671824673,12,127.72469663619995,False,,,13,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-18-12,1597702692,1687.1020846366882,64370,cpus,10.142.0.3,1687.1020846366882,0,13,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.8965),-54.79676098351397,-57.29878476742242,13,151.41489052772522,False,,,14,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-20-43,1597702843,1838.5169751644135,64370,cpus,10.142.0.3,1838.5169751644135,0,14,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.8247),-69.9937620542357,-60.798472870134205,14,127.30036425590515,False,,,15,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-22-50,1597702970,1965.8173394203186,64370,cpus,10.142.0.3,1965.8173394203186,0,15,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.7660),-67.94976221745604,-64.195960981007,15,138.6182096004486,False,,,16,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-25-09,1597703109,2104.435549020767,64370,cpus,10.142.0.3,2104.435549020767,0,16,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.8626),-86.28353361782631,-68.51013766189833,16,128.76682686805725,False,,,17,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-27-18,1597703238,2233.2023758888245,64370,cpus,10.142.0.3,2233.2023758888245,0,17,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(0.8383),-52.014846134703156,-71.1108799686335,17,146.50462651252747,False,,,18,3da4555346e24bcd9d26befe4d78b379,2020-08-17_22-29-44,1597703384,2379.707002401352,64370,cpus,10.142.0.3,2379.707002401352,0,18,9af74_00018,"18_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
