loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6983),-264.51966509843027,-13.225983254921513,0,100.31783938407898,False,,,1,d4e70911ce794efeb36d96590a8ff233,2020-08-17_21-51-45,1597701105,100.31783938407898,64361,cpus,10.142.0.3,100.31783938407898,0,1,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.8576),-207.20395318170836,-23.58618091400693,1,96.34014129638672,False,,,2,d4e70911ce794efeb36d96590a8ff233,2020-08-17_21-53-21,1597701201,196.6579806804657,64361,cpus,10.142.0.3,196.6579806804657,0,2,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6735),-230.1863190144174,-35.0954968647278,2,105.2071328163147,False,,,3,d4e70911ce794efeb36d96590a8ff233,2020-08-17_21-55-06,1597701306,301.8651134967804,64361,cpus,10.142.0.3,301.8651134967804,0,3,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5807),-151.0969907965227,-42.650346404553936,3,98.49759221076965,False,,,4,d4e70911ce794efeb36d96590a8ff233,2020-08-17_21-56-45,1597701405,400.36270570755005,64361,cpus,10.142.0.3,400.36270570755005,0,4,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5380),-116.7801542293698,-48.489354116022426,4,97.57242012023926,False,,,5,d4e70911ce794efeb36d96590a8ff233,2020-08-17_21-58-23,1597701503,497.9351258277893,64361,cpus,10.142.0.3,497.9351258277893,0,5,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4405),-98.76813601778079,-53.427760916911474,5,98.81922769546509,False,,,6,d4e70911ce794efeb36d96590a8ff233,2020-08-17_22-00-01,1597701601,596.7543535232544,64361,cpus,10.142.0.3,596.7543535232544,0,6,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3453),-101.54048941582963,-58.50478538770295,6,94.64253973960876,False,,,7,d4e70911ce794efeb36d96590a8ff233,2020-08-17_22-01-36,1597701696,691.3968932628632,64361,cpus,10.142.0.3,691.3968932628632,0,7,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3933),-96.22742891328747,-63.31615683336732,7,94.93629598617554,False,,,8,d4e70911ce794efeb36d96590a8ff233,2020-08-17_22-03-11,1597701791,786.3331892490387,64361,cpus,10.142.0.3,786.3331892490387,0,8,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3372),-95.28048085477481,-68.08018087610607,8,99.19811606407166,False,,,9,d4e70911ce794efeb36d96590a8ff233,2020-08-17_22-04-50,1597701890,885.5313053131104,64361,cpus,10.142.0.3,885.5313053131104,0,9,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2415),-97.98775164576399,-72.97956845839427,9,93.25428104400635,False,,,10,d4e70911ce794efeb36d96590a8ff233,2020-08-17_22-06-23,1597701983,978.7855863571167,64361,cpus,10.142.0.3,978.7855863571167,0,10,9af74_00019,"19_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=25"
