loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5890),-264.51966509843027,-13.225983254921513,0,99.6912055015564,False,,,1,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_21-51-44,1597701104,99.6912055015564,64392,cpus,10.142.0.3,99.6912055015564,0,1,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.8301),-207.20395318170836,-23.58618091400693,1,93.44147038459778,False,,,2,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_21-53-18,1597701198,193.13267588615417,64392,cpus,10.142.0.3,193.13267588615417,0,2,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5619),-146.1454054565151,-30.893451186832685,2,103.35606360435486,False,,,3,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_21-55-01,1597701301,296.48873949050903,64392,cpus,10.142.0.3,296.48873949050903,0,3,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5574),-124.26208511308509,-37.106555442486936,3,95.92537760734558,False,,,4,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_21-56-37,1597701397,392.4141170978546,64392,cpus,10.142.0.3,392.4141170978546,0,4,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5224),-101.01241585803557,-42.15717623538872,4,96.56132817268372,False,,,5,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_21-58-13,1597701493,488.97544527053833,64392,cpus,10.142.0.3,488.97544527053833,0,5,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4663),-105.34359116493803,-47.42435579363562,5,97.68135142326355,False,,,6,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_21-59-51,1597701591,586.6567966938019,64392,cpus,10.142.0.3,586.6567966938019,0,6,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3962),-98.22951624416018,-52.33583160584362,6,94.20440077781677,False,,,7,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-01-25,1597701685,680.8611974716187,64392,cpus,10.142.0.3,680.8611974716187,0,7,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3718),-91.2524088670859,-56.89845204919792,7,93.64292550086975,False,,,8,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-02-59,1597701779,774.5041229724884,64392,cpus,10.142.0.3,774.5041229724884,0,8,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2992),-106.77695905756687,-62.23730000207627,8,99.30227327346802,False,,,9,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-04-38,1597701878,873.8063962459564,64392,cpus,10.142.0.3,873.8063962459564,0,9,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2433),-96.62065264143844,-67.06833263414819,9,92.53467226028442,False,,,10,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-06-11,1597701971,966.3410685062408,64392,cpus,10.142.0.3,966.3410685062408,0,10,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3640),-86.96429970952506,-71.41654761962444,10,94.69175314903259,False,,,11,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-07-45,1597702065,1061.0328216552734,64392,cpus,10.142.0.3,1061.0328216552734,0,11,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2361),-86.84265351095802,-75.75868029517234,11,101.41614007949829,False,,,12,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-09-27,1597702167,1162.4489617347717,64392,cpus,10.142.0.3,1162.4489617347717,0,12,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2387),-98.28249979615804,-80.67280528498023,12,113.22568774223328,False,,,13,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-11-20,1597702280,1275.674649477005,64392,cpus,10.142.0.3,1275.674649477005,0,13,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2045),-82.46273868336894,-84.79594221914869,13,107.64395308494568,False,,,14,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-13-08,1597702388,1383.3186025619507,64392,cpus,10.142.0.3,1383.3186025619507,0,14,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2698),-90.33151667218365,-89.31251805275787,14,104.74887442588806,False,,,15,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-14-52,1597702492,1488.0674769878387,64392,cpus,10.142.0.3,1488.0674769878387,0,15,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2181),-92.4441349556587,-93.9347248005408,15,93.39103412628174,False,,,16,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-16-26,1597702586,1581.4585111141205,64392,cpus,10.142.0.3,1581.4585111141205,0,16,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2323),-77.16815821810509,-97.79313271144606,16,93.82456970214844,False,,,17,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-18-00,1597702680,1675.283080816269,64392,cpus,10.142.0.3,1675.283080816269,0,17,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1813),-85.74832492144716,-102.08054895751842,17,94.1170380115509,False,,,18,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-19-34,1597702774,1769.4001188278198,64392,cpus,10.142.0.3,1769.4001188278198,0,18,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1906),-83.26193890031628,-106.24364590253424,18,93.66791534423828,False,,,19,c1b3d79233824026ba396a4961cbc3d0,2020-08-17_22-21-07,1597702867,1863.068034172058,64392,cpus,10.142.0.3,1863.068034172058,0,19,9af74_00001,"1_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
