loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6263),-264.51966509843027,-13.225983254921513,0,126.01575493812561,False,,,1,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_21-52-11,1597701131,126.01575493812561,64377,cpus,10.142.0.3,126.01575493812561,0,1,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7805),-169.7277912392848,-21.712372816885754,1,127.81391525268555,False,,,2,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_21-54-19,1597701259,253.82967019081116,64377,cpus,10.142.0.3,253.82967019081116,0,2,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7729),-93.97993233157601,-26.411369433464557,2,124.28989768028259,False,,,3,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_21-56-23,1597701383,378.11956787109375,64377,cpus,10.142.0.3,378.11956787109375,0,3,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7039),-45.66965571992057,-28.694852219460586,3,122.8277678489685,False,,,4,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_21-58-26,1597701506,500.94733572006226,64377,cpus,10.142.0.3,500.94733572006226,0,4,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3785),-90.34926020560724,-33.21231522974095,4,144.089586019516,False,,,5,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-00-50,1597701650,645.0369217395782,64377,cpus,10.142.0.3,645.0369217395782,0,5,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2910),-86.65047145101762,-37.544838802291835,5,128.4780147075653,False,,,6,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-02-58,1597701778,773.5149364471436,64377,cpus,10.142.0.3,773.5149364471436,0,6,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.3091),-109.47493288187556,-43.018585446385615,6,132.46638321876526,False,,,7,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-05-11,1597701911,905.9813196659088,64377,cpus,10.142.0.3,905.9813196659088,0,7,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2005),-161.99353027483093,-51.11826196012716,7,137.0629494190216,False,,,8,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-07-28,1597702048,1043.0442690849304,64377,cpus,10.142.0.3,1043.0442690849304,0,8,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1590),-40.90317249401743,-53.16342058482803,8,144.43102264404297,False,,,9,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-09-52,1597702192,1187.4752917289734,64377,cpus,10.142.0.3,1187.4752917289734,0,9,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1618),-41.71617511422903,-55.24922934053948,9,147.35865545272827,False,,,10,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-12-20,1597702340,1334.8339471817017,64377,cpus,10.142.0.3,1334.8339471817017,0,10,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1452),-40.65512003578719,-57.28198534232884,10,141.79888248443604,False,,,11,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-14-41,1597702481,1476.6328296661377,64377,cpus,10.142.0.3,1476.6328296661377,0,11,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.1986),-59.48782958747207,-60.25637682170244,11,129.56772136688232,False,,,12,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-16-51,1597702611,1606.20055103302,64377,cpus,10.142.0.3,1606.20055103302,0,12,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.2502),-42.62440191985525,-62.387596917695205,12,123.82272005081177,False,,,13,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-18-55,1597702735,1730.0232710838318,64377,cpus,10.142.0.3,1730.0232710838318,0,13,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.0688),-27.91171000210424,-63.78318241780041,13,122.68709945678711,False,,,14,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-20-57,1597702857,1852.710370540619,64377,cpus,10.142.0.3,1852.710370540619,0,14,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.0322),-52.18410671748643,-66.39238775367474,14,122.13065266609192,False,,,15,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-23-00,1597702980,1974.8410232067108,64377,cpus,10.142.0.3,1974.8410232067108,0,15,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(0.9913),-77.14632392082709,-70.24970394971609,15,120.45074701309204,False,,,16,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-25-00,1597703100,2095.291770219803,64377,cpus,10.142.0.3,2095.291770219803,0,16,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.0287),-67.93441955721792,-73.64642492757699,16,121.53497433662415,False,,,17,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-27-02,1597703222,2216.826744556427,64377,cpus,10.142.0.3,2216.826744556427,0,17,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.0501),-51.044262566901416,-76.19863805592206,17,120.54116487503052,False,,,18,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-29-02,1597703342,2337.3679094314575,64377,cpus,10.142.0.3,2337.3679094314575,0,18,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(0.9632),-46.67024241417298,-78.53215017663071,18,120.29101085662842,False,,,19,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-31-02,1597703462,2457.658920288086,64377,cpus,10.142.0.3,2457.658920288086,0,19,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(0.9136),-50.79590764435447,-81.07194555884843,19,119.73929357528687,False,,,20,1d507c6db5f945e7ad1eb25e3e05bbac,2020-08-17_22-33-02,1597703582,2577.398213863373,64377,cpus,10.142.0.3,2577.398213863373,0,20,9af74_00020,"20_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
