loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6979),-264.51966509843027,-13.225983254921513,0,99.04337334632874,False,,,1,f4d55cba270c4125aed172fd33e63469,2020-08-17_21-51-44,1597701104,99.04337334632874,64348,cpus,10.142.0.3,99.04337334632874,0,1,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.9050),-207.20395318170836,-23.58618091400693,1,95.85149359703064,False,,,2,f4d55cba270c4125aed172fd33e63469,2020-08-17_21-53-20,1597701200,194.89486694335938,64348,cpus,10.142.0.3,194.89486694335938,0,2,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7348),-137.3876199767595,-30.455561912844907,2,105.08264064788818,False,,,3,f4d55cba270c4125aed172fd33e63469,2020-08-17_21-55-05,1597701305,299.97750759124756,64348,cpus,10.142.0.3,299.97750759124756,0,3,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6470),-159.71724875290784,-38.441424350490294,3,100.12967920303345,False,,,4,f4d55cba270c4125aed172fd33e63469,2020-08-17_21-56-45,1597701405,400.107186794281,64348,cpus,10.142.0.3,400.107186794281,0,4,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6776),-133.9024455079208,-45.13654662588634,4,100.01174116134644,False,,,5,f4d55cba270c4125aed172fd33e63469,2020-08-17_21-58-25,1597701505,500.11892795562744,64348,cpus,10.142.0.3,500.11892795562744,0,5,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5829),-108.321672572861,-50.55263025452938,5,101.79250264167786,False,,,6,f4d55cba270c4125aed172fd33e63469,2020-08-17_22-00-07,1597701607,601.9114305973053,64348,cpus,10.142.0.3,601.9114305973053,0,6,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5744),-108.77338350687003,-55.99129942987289,6,97.40231394767761,False,,,7,f4d55cba270c4125aed172fd33e63469,2020-08-17_22-01-44,1597701704,699.3137445449829,64348,cpus,10.142.0.3,699.3137445449829,0,7,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5091),-99.54606599533084,-60.96860272963943,7,98.80312037467957,False,,,8,f4d55cba270c4125aed172fd33e63469,2020-08-17_22-03-23,1597701803,798.1168649196625,64348,cpus,10.142.0.3,798.1168649196625,0,8,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4608),-99.38661718772656,-65.93793358902576,8,100.12167453765869,False,,,9,f4d55cba270c4125aed172fd33e63469,2020-08-17_22-05-03,1597701903,898.2385394573212,64348,cpus,10.142.0.3,898.2385394573212,0,9,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4550),-88.87120058300377,-70.38149361817595,9,95.84061026573181,False,,,10,f4d55cba270c4125aed172fd33e63469,2020-08-17_22-06-39,1597701999,994.079149723053,64348,cpus,10.142.0.3,994.079149723053,0,10,9af74_00021,"21_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
