loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7499),-264.51966509843027,-13.225983254921513,0,118.85469555854797,False,,,1,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_21-52-04,1597701124,118.85469555854797,64355,cpus,10.142.0.3,118.85469555854797,0,1,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.8644),-169.7277912392848,-21.712372816885754,1,120.5130307674408,False,,,2,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_21-54-04,1597701244,239.36772632598877,64355,cpus,10.142.0.3,239.36772632598877,0,2,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7620),-67.2138632079207,-25.07306597728179,2,120.6250433921814,False,,,3,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_21-56-05,1597701365,359.99276971817017,64355,cpus,10.142.0.3,359.99276971817017,0,3,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7287),-91.60877365302422,-29.653504659933,3,120.78320097923279,False,,,4,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_21-58-06,1597701486,480.77597069740295,64355,cpus,10.142.0.3,480.77597069740295,0,4,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6482),-184.80020124657193,-38.89351472226159,4,121.57539391517639,False,,,5,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_22-00-07,1597701607,602.3513646125793,64355,cpus,10.142.0.3,602.3513646125793,0,5,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5475),-141.00940175327898,-45.94398480992554,5,118.68165493011475,False,,,6,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_22-02-06,1597701726,721.0330195426941,64355,cpus,10.142.0.3,721.0330195426941,0,6,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5220),-193.75181710896604,-55.63157566537384,6,122.05437207221985,False,,,7,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_22-04-08,1597701848,843.0873916149139,64355,cpus,10.142.0.3,843.0873916149139,0,7,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5406),-185.94180780035214,-64.92866605539145,7,117.00900554656982,False,,,8,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_22-06-05,1597701965,960.0963971614838,64355,cpus,10.142.0.3,960.0963971614838,0,8,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5417),-155.75093284250045,-72.71621269751647,8,117.37813687324524,False,,,9,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_22-08-02,1597702082,1077.474534034729,64355,cpus,10.142.0.3,1077.474534034729,0,9,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4983),-153.00341593290685,-80.36638349416181,9,132.40034556388855,False,,,10,02f408d7bdec4f55a6f2c9189676febd,2020-08-17_22-10-15,1597702215,1209.8748795986176,64355,cpus,10.142.0.3,1209.8748795986176,0,10,9af74_00022,"22_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
