loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7429),-264.51966509843027,-13.225983254921513,0,88.33723425865173,False,,,1,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_21-51-33,1597701093,88.33723425865173,64379,cpus,10.142.0.3,88.33723425865173,0,1,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(2.0414),-207.20395318170836,-23.58618091400693,1,86.69285655021667,False,,,2,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_21-53-00,1597701180,175.0300908088684,64379,cpus,10.142.0.3,175.0300908088684,0,2,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.8148),-202.9471888149703,-33.73354035475545,2,97.79621386528015,False,,,3,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_21-54-38,1597701278,272.82630467414856,64379,cpus,10.142.0.3,272.82630467414856,0,3,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7827),-164.97969521796693,-41.982525115653786,3,90.17694401741028,False,,,4,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_21-56-08,1597701368,363.00324869155884,64379,cpus,10.142.0.3,363.00324869155884,0,4,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.7054),-183.79292911550763,-51.17217157142917,4,92.17454695701599,False,,,5,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_21-57-40,1597701460,455.17779564857483,64379,cpus,10.142.0.3,455.17779564857483,0,5,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6614),-146.42117007816412,-58.49323007533737,5,91.19148516654968,False,,,6,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_21-59-11,1597701551,546.3692808151245,64379,cpus,10.142.0.3,546.3692808151245,0,6,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.6085),-194.38958021512326,-68.21270908609354,6,93.57285332679749,False,,,7,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-00-45,1597701645,639.942134141922,64379,cpus,10.142.0.3,639.942134141922,0,7,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5394),-189.2087850425478,-77.67314833822093,7,87.85266327857971,False,,,8,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-02-13,1597701733,727.7947974205017,64379,cpus,10.142.0.3,727.7947974205017,0,8,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5969),-178.17027291499255,-86.58166198397055,8,91.57984757423401,False,,,9,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-03-44,1597701824,819.3746449947357,64379,cpus,10.142.0.3,819.3746449947357,0,9,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5308),-170.40885898196296,-95.1021049330687,9,91.15571355819702,False,,,10,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-05-15,1597701915,910.5303585529327,64379,cpus,10.142.0.3,910.5303585529327,0,10,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5583),-170.3206699839196,-103.61813843226469,10,88.7025101184845,False,,,11,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-06-44,1597702004,999.2328686714172,64379,cpus,10.142.0.3,999.2328686714172,0,11,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5804),-147.9442702390513,-111.01535194421724,11,90.92994236946106,False,,,12,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-08-15,1597702095,1090.1628110408783,64379,cpus,10.142.0.3,1090.1628110408783,0,12,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5119),-177.33031026512094,-119.8818674574733,12,101.30166411399841,False,,,13,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-09-56,1597702196,1191.4644751548767,64379,cpus,10.142.0.3,1191.4644751548767,0,13,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4889),-151.5987253557243,-127.4618037252595,13,107.4941086769104,False,,,14,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-11-44,1597702304,1298.958583831787,64379,cpus,10.142.0.3,1298.958583831787,0,14,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4351),-176.2437405678151,-136.27399075365025,14,99.97738862037659,False,,,15,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-13-24,1597702404,1398.9359724521637,64379,cpus,10.142.0.3,1398.9359724521637,0,15,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4474),-152.97298169535412,-143.92263983841798,15,97.63545370101929,False,,,16,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-15-01,1597702501,1496.571426153183,64379,cpus,10.142.0.3,1496.571426153183,0,16,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.5415),-146.56526334640517,-151.25090300573822,16,87.99049139022827,False,,,17,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-16-29,1597702589,1584.5619175434113,64379,cpus,10.142.0.3,1584.5619175434113,0,17,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4890),-117.62136405986318,-157.1319712087314,17,88.47688055038452,False,,,18,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-17-58,1597702678,1673.0387980937958,64379,cpus,10.142.0.3,1673.0387980937958,0,18,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4958),-179.9525240840122,-166.129597412932,18,88.93292737007141,False,,,19,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-19-27,1597702767,1761.9717254638672,64379,cpus,10.142.0.3,1761.9717254638672,0,19,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
tensor(1.4919),-139.45801715505257,-173.1024982706846,19,88.91501665115356,False,,,20,261d0a223886422caeb70fc3b0c8ab97,2020-08-17_22-20-56,1597702856,1850.8867421150208,64379,cpus,10.142.0.3,1850.8867421150208,0,20,9af74_00023,"23_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=25"
