loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5595),-264.51966509843027,-13.225983254921513,0,127.02372932434082,False,,,1,0f2ac49870774295b225c2860946a8eb,2020-08-17_21-52-12,1597701132,127.02372932434082,64364,cpus,10.142.0.3,127.02372932434082,0,1,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.7804),-169.7277912392848,-21.712372816885754,1,130.364089012146,False,,,2,0f2ac49870774295b225c2860946a8eb,2020-08-17_21-54-22,1597701262,257.3878183364868,64364,cpus,10.142.0.3,257.3878183364868,0,2,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.7267),-106.42023684884464,-27.033384659327986,2,127.98911714553833,False,,,3,0f2ac49870774295b225c2860946a8eb,2020-08-17_21-56-30,1597701390,385.37693548202515,64364,cpus,10.142.0.3,385.37693548202515,0,3,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.7983),-153.7306904475177,-34.71991918170387,3,129.17532920837402,False,,,4,0f2ac49870774295b225c2860946a8eb,2020-08-17_21-58-39,1597701519,514.5522646903992,64364,cpus,10.142.0.3,514.5522646903992,0,4,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5317),-145.71314224294224,-42.00557629385098,4,130.60675191879272,False,,,5,0f2ac49870774295b225c2860946a8eb,2020-08-17_22-00-50,1597701650,645.1590166091919,64364,cpus,10.142.0.3,645.1590166091919,0,5,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3943),-147.8008287821083,-49.395617732956396,5,123.7884213924408,False,,,6,0f2ac49870774295b225c2860946a8eb,2020-08-17_22-02-54,1597701774,768.9474380016327,64364,cpus,10.142.0.3,768.9474380016327,0,6,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3983),-155.89032205838268,-57.19013383587553,6,128.9571807384491,False,,,7,0f2ac49870774295b225c2860946a8eb,2020-08-17_22-05-03,1597701903,897.9046187400818,64364,cpus,10.142.0.3,897.9046187400818,0,7,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6293),-154.29245375891722,-64.90475652382139,7,123.51425004005432,False,,,8,0f2ac49870774295b225c2860946a8eb,2020-08-17_22-07-06,1597702026,1021.4188687801361,64364,cpus,10.142.0.3,1021.4188687801361,0,8,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6680),-149.0920872617789,-72.35936088691034,8,130.9696433544159,False,,,9,0f2ac49870774295b225c2860946a8eb,2020-08-17_22-09-17,1597702157,1152.388512134552,64364,cpus,10.142.0.3,1152.388512134552,0,9,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5068),-159.35716718085837,-80.32721924595326,9,147.22141551971436,False,,,10,0f2ac49870774295b225c2860946a8eb,2020-08-17_22-11-44,1597702304,1299.6099276542664,64364,cpus,10.142.0.3,1299.6099276542664,0,10,9af74_00024,"24_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
