loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6450),-264.51966509843027,-13.225983254921513,0,102.68286418914795,False,,,1,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_21-51-48,1597701108,102.68286418914795,64345,cpus,10.142.0.3,102.68286418914795,0,1,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.9168),-207.20395318170836,-23.58618091400693,1,98.79558873176575,False,,,2,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_21-53-26,1597701206,201.4784529209137,64345,cpus,10.142.0.3,201.4784529209137,0,2,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6495),-138.18121986181285,-30.495241907097572,2,103.18174695968628,False,,,3,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_21-55-10,1597701310,304.6601998806,64345,cpus,10.142.0.3,304.6601998806,0,3,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5441),-98.08593409397719,-35.39953861179644,3,99.23428010940552,False,,,4,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_21-56-49,1597701409,403.8944799900055,64345,cpus,10.142.0.3,403.8944799900055,0,4,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4408),-98.8005252670827,-40.33956487515057,4,100.08481240272522,False,,,5,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_21-58-29,1597701509,503.9792923927307,64345,cpus,10.142.0.3,503.9792923927307,0,5,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4262),-89.16462471604613,-44.79779611095287,5,101.61247277259827,False,,,6,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_22-00-11,1597701611,605.591765165329,64345,cpus,10.142.0.3,605.591765165329,0,6,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3647),-84.87478486120628,-49.04153535401319,6,97.70559239387512,False,,,7,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_22-01-48,1597701708,703.2973575592041,64345,cpus,10.142.0.3,703.2973575592041,0,7,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3672),-96.59421025579567,-53.87124586680297,7,98.79663896560669,False,,,8,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_22-03-27,1597701807,802.0939965248108,64345,cpus,10.142.0.3,802.0939965248108,0,8,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3800),-93.60362484974888,-58.55142710929042,8,101.35598683357239,False,,,9,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_22-05-08,1597701908,903.4499833583832,64345,cpus,10.142.0.3,903.4499833583832,0,9,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3674),-78.25433113390594,-62.464143665985716,9,97.17384433746338,False,,,10,ea3f191b5c874244856618e4f3ca9d7e,2020-08-17_22-06-46,1597702006,1000.6238276958466,64345,cpus,10.142.0.3,1000.6238276958466,0,10,9af74_00025,"25_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
