loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7122),-264.51966509843027,-13.225983254921513,0,125.35227036476135,False,,,1,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_21-52-10,1597701130,125.35227036476135,64385,cpus,10.142.0.3,125.35227036476135,0,1,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.8217),-169.7277912392848,-21.712372816885754,1,125.75598120689392,False,,,2,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_21-54-16,1597701256,251.10825157165527,64385,cpus,10.142.0.3,251.10825157165527,0,2,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.7317),-76.0952851673483,-25.517137075253167,2,123.5401701927185,False,,,3,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_21-56-19,1597701379,374.6484217643738,64385,cpus,10.142.0.3,374.6484217643738,0,3,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6679),-50.65616884928802,-28.04994551771757,3,120.78116917610168,False,,,4,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_21-58-20,1597701500,495.42959094047546,64385,cpus,10.142.0.3,495.42959094047546,0,4,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4302),-85.94222879687527,-32.347056957561335,4,134.62350583076477,False,,,5,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_22-00-35,1597701635,630.0530967712402,64385,cpus,10.142.0.3,630.0530967712402,0,5,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3226),-0.8432613322623468,-32.389220024174456,5,146.89240860939026,False,,,6,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_22-03-02,1597701782,776.9455053806305,64385,cpus,10.142.0.3,776.9455053806305,0,6,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3427),-21.7915679038969,-33.4787984193693,6,147.63210797309875,False,,,7,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_22-05-29,1597701929,924.5776133537292,64385,cpus,10.142.0.3,924.5776133537292,0,7,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.2470),-32.954006877503225,-35.12649876324446,7,143.89388942718506,False,,,8,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_22-07-53,1597702073,1068.4715027809143,64385,cpus,10.142.0.3,1068.4715027809143,0,8,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3220),-24.811313530982723,-36.367064439793594,8,147.7465260028839,False,,,9,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_22-10-21,1597702221,1216.2180287837982,64385,cpus,10.142.0.3,1216.2180287837982,0,9,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3115),1.7218881113801152,-36.28097003422459,9,158.96128964424133,False,,,10,cc7ddf3e8e124ad88e1750fc802ceff6,2020-08-17_22-13-00,1597702380,1375.1793184280396,64385,cpus,10.142.0.3,1375.1793184280396,0,10,9af74_00026,"26_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=25"
