loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7422),-264.51966509843027,-13.225983254921513,0,125.60583162307739,False,,,1,c087de255f8743c39f0a2d1887138a0e,2020-08-17_21-52-11,1597701131,125.60583162307739,64356,cpus,10.142.0.3,125.60583162307739,0,1,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.8767),-169.7277912392848,-21.712372816885754,1,130.18259811401367,False,,,2,c087de255f8743c39f0a2d1887138a0e,2020-08-17_21-54-21,1597701261,255.78842973709106,64356,cpus,10.142.0.3,255.78842973709106,0,2,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6846),-93.54617683324634,-26.389681658548074,2,125.03757929801941,False,,,3,c087de255f8743c39f0a2d1887138a0e,2020-08-17_21-56-26,1597701386,380.8260090351105,64356,cpus,10.142.0.3,380.8260090351105,0,3,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6743),-74.80695094869702,-30.130029205982925,3,124.07661938667297,False,,,4,c087de255f8743c39f0a2d1887138a0e,2020-08-17_21-58-30,1597701510,504.90262842178345,64356,cpus,10.142.0.3,504.90262842178345,0,4,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5828),-55.20435248167651,-32.89024683006675,4,127.2249960899353,False,,,5,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-00-37,1597701637,632.1276245117188,64356,cpus,10.142.0.3,632.1276245117188,0,5,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6278),-44.13636583088919,-35.09706512161121,5,124.64520215988159,False,,,6,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-02-42,1597701762,756.7728266716003,64356,cpus,10.142.0.3,756.7728266716003,0,6,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4845),-27.82097228134337,-36.48811373567838,6,130.30471396446228,False,,,7,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-04-52,1597701892,887.0775406360626,64356,cpus,10.142.0.3,887.0775406360626,0,7,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.2220),-10.0559402854723,-36.99091074995199,7,149.8495602607727,False,,,8,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-07-22,1597702042,1036.9271008968353,64356,cpus,10.142.0.3,1036.9271008968353,0,8,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.1999),-28.471626088441155,-38.41449205437406,8,168.60100150108337,False,,,9,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-10-11,1597702211,1205.5281023979187,64356,cpus,10.142.0.3,1205.5281023979187,0,9,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.1129),-2.6797708089083128,-38.54848059481947,9,175.41348123550415,False,,,10,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-13-06,1597702386,1380.9415836334229,64356,cpus,10.142.0.3,1380.9415836334229,0,10,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.1722),9.456777103559617,-38.07564173964149,10,158.46501302719116,False,,,11,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-15-44,1597702544,1539.406596660614,64356,cpus,10.142.0.3,1539.406596660614,0,11,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.1680),-4.672379665582538,-38.30926072292062,11,151.13120675086975,False,,,12,c087de255f8743c39f0a2d1887138a0e,2020-08-17_22-18-16,1597702696,1690.5378034114838,64356,cpus,10.142.0.3,1690.5378034114838,0,12,9af74_00028,"28_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
