loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.9728),-264.51966509843027,-13.225983254921513,0,100.84424901008606,False,,,1,d611360f817c4df1ba68dfda864f3737,2020-08-17_21-51-46,1597701106,100.84424901008606,64360,cpus,10.142.0.3,100.84424901008606,0,1,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(2.0816),-207.20395318170836,-23.58618091400693,1,97.89785313606262,False,,,2,d611360f817c4df1ba68dfda864f3737,2020-08-17_21-53-24,1597701204,198.74210214614868,64360,cpus,10.142.0.3,198.74210214614868,0,2,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(2.0046),-128.95892950568754,-30.034127389291307,2,103.64031600952148,False,,,3,d611360f817c4df1ba68dfda864f3737,2020-08-17_21-55-07,1597701307,302.38241815567017,64360,cpus,10.142.0.3,302.38241815567017,0,3,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.7336),-103.92970930645417,-35.230612854614016,3,98.43500757217407,False,,,4,d611360f817c4df1ba68dfda864f3737,2020-08-17_21-56-46,1597701406,400.81742572784424,64360,cpus,10.142.0.3,400.81742572784424,0,4,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6808),-92.73425662203331,-39.86732568571568,4,98.40092277526855,False,,,5,d611360f817c4df1ba68dfda864f3737,2020-08-17_21-58-24,1597701504,499.2183485031128,64360,cpus,10.142.0.3,499.2183485031128,0,5,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6884),-74.82374909063826,-43.60851314024759,5,100.669677734375,False,,,6,d611360f817c4df1ba68dfda864f3737,2020-08-17_22-00-05,1597701605,599.8880262374878,64360,cpus,10.142.0.3,599.8880262374878,0,6,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6509),-82.76277904090576,-47.74665209229288,6,95.35427355766296,False,,,7,d611360f817c4df1ba68dfda864f3737,2020-08-17_22-01-40,1597701700,695.2422997951508,64360,cpus,10.142.0.3,695.2422997951508,0,7,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5623),-86.53937531394412,-52.07362085799009,7,95.44930052757263,False,,,8,d611360f817c4df1ba68dfda864f3737,2020-08-17_22-03-16,1597701796,790.6916003227234,64360,cpus,10.142.0.3,790.6916003227234,0,8,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6642),-87.10178831807498,-56.42871027389384,8,98.36493992805481,False,,,9,d611360f817c4df1ba68dfda864f3737,2020-08-17_22-04-54,1597701894,889.0565402507782,64360,cpus,10.142.0.3,889.0565402507782,0,9,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4534),-82.36915439498311,-60.547167993642994,9,92.64132499694824,False,,,10,d611360f817c4df1ba68dfda864f3737,2020-08-17_22-06-27,1597701987,981.6978652477264,64360,cpus,10.142.0.3,981.6978652477264,0,10,9af74_00029,"29_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
