loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6492),-264.51966509843027,-13.225983254921513,0,119.46434473991394,False,,,1,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_21-52-04,1597701124,119.46434473991394,64363,cpus,10.142.0.3,119.46434473991394,0,1,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.7546),-169.7277912392848,-21.712372816885754,1,121.22631740570068,False,,,2,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_21-54-05,1597701245,240.69066214561462,64363,cpus,10.142.0.3,240.69066214561462,0,2,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.6295),-82.10577567942805,-25.817661600857157,2,121.40822410583496,False,,,3,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_21-56-06,1597701366,362.0988862514496,64363,cpus,10.142.0.3,362.0988862514496,0,3,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5461),-55.84339342506695,-28.6098312721105,3,121.01841950416565,False,,,4,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_21-58-07,1597701487,483.11730575561523,64363,cpus,10.142.0.3,483.11730575561523,0,4,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4725),1.5060472831575091,-28.534528907952627,4,134.67496943473816,False,,,5,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-00-22,1597701622,617.7922751903534,64363,cpus,10.142.0.3,617.7922751903534,0,5,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1934),-19.154546965935886,-29.49225625624942,5,121.9127266407013,False,,,6,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-02-24,1597701744,739.7050018310547,64363,cpus,10.142.0.3,739.7050018310547,0,6,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2301),-28.651523936894755,-30.924832453094155,6,128.49742460250854,False,,,7,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-04-33,1597701873,868.2024264335632,64363,cpus,10.142.0.3,868.2024264335632,0,7,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2002),4.81531602853977,-30.684066651667166,7,120.43367457389832,False,,,8,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-06-33,1597701993,988.6361010074615,64363,cpus,10.142.0.3,988.6361010074615,0,8,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1764),2.1656686751852647,-30.5757832179079,8,127.17937517166138,False,,,9,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-08-40,1597702120,1115.815476179123,64363,cpus,10.142.0.3,1115.815476179123,0,9,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1154),14.449343514170772,-29.85331604219936,9,139.9963457584381,False,,,10,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-11-00,1597702260,1255.811821937561,64363,cpus,10.142.0.3,1255.811821937561,0,10,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1363),-0.15290591188292524,-29.86096133779351,10,140.0353033542633,False,,,11,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-13-20,1597702400,1395.8471252918243,64363,cpus,10.142.0.3,1395.8471252918243,0,11,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(0.9676),-2.9664336021526574,-30.00928301790114,11,129.5529568195343,False,,,12,4c3687b6bf0d4dd1beb2ba52543b47e9,2020-08-17_22-15-30,1597702530,1525.4000821113586,64363,cpus,10.142.0.3,1525.4000821113586,0,12,9af74_00002,"2_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
