loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.8496),-264.51966509843027,-13.225983254921513,0,120.0222225189209,False,,,1,81a403bd07fb41d091f27de5585b6a77,2020-08-17_21-52-05,1597701125,120.0222225189209,64404,cpus,10.142.0.3,120.0222225189209,0,1,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.9185),-169.7277912392848,-21.712372816885754,1,120.00553631782532,False,,,2,81a403bd07fb41d091f27de5585b6a77,2020-08-17_21-54-05,1597701245,240.02775883674622,64404,cpus,10.142.0.3,240.02775883674622,0,2,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.8392),-105.94874001430671,-27.00980981760109,2,120.02928328514099,False,,,3,81a403bd07fb41d091f27de5585b6a77,2020-08-17_21-56-05,1597701365,360.0570421218872,64404,cpus,10.142.0.3,360.0570421218872,0,3,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6404),-86.69596689337513,-31.34460816226985,3,119.51450061798096,False,,,4,81a403bd07fb41d091f27de5585b6a77,2020-08-17_21-58-05,1597701485,479.57154273986816,64404,cpus,10.142.0.3,479.57154273986816,0,4,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5741),-92.41982081171143,-35.96559920285542,4,120.3363389968872,False,,,5,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-00-05,1597701605,599.9078817367554,64404,cpus,10.142.0.3,599.9078817367554,0,5,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.5446),-67.44462581266099,-39.337830493488475,5,116.40787816047668,False,,,6,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-02-01,1597701721,716.315759897232,64404,cpus,10.142.0.3,716.315759897232,0,6,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4777),-73.2262653477548,-42.99914376087621,6,119.87990355491638,False,,,7,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-04-01,1597701841,836.1956634521484,64404,cpus,10.142.0.3,836.1956634521484,0,7,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.6433),-74.83720910759085,-46.74100421625575,7,115.85439777374268,False,,,8,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-05-57,1597701957,952.0500612258911,64404,cpus,10.142.0.3,952.0500612258911,0,8,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.4143),-60.903477585302085,-49.78617809552086,8,115.047043800354,False,,,9,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-07-52,1597702072,1067.0971050262451,64404,cpus,10.142.0.3,1067.0971050262451,0,9,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.3171),-51.953022047308856,-52.3838291978863,9,130.4105019569397,False,,,10,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-10-02,1597702202,1197.5076069831848,64404,cpus,10.142.0.3,1197.5076069831848,0,10,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.2341),-49.74112869192551,-54.870885632482576,10,132.91816687583923,False,,,11,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-12-15,1597702335,1330.425773859024,64404,cpus,10.142.0.3,1330.425773859024,0,11,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.0687),-44.69811073980477,-57.10579116947282,11,132.96278357505798,False,,,12,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-14-28,1597702468,1463.388557434082,64404,cpus,10.142.0.3,1463.388557434082,0,12,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.9725),-53.851856245741,-59.79838398175987,12,114.99004220962524,False,,,13,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-16-23,1597702583,1578.3785996437073,64404,cpus,10.142.0.3,1578.3785996437073,0,13,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.1294),-61.366961424040824,-62.8667320529619,13,113.95084881782532,False,,,14,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-18-17,1597702697,1692.3294484615326,64404,cpus,10.142.0.3,1692.3294484615326,0,14,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.9119),-10.298834049760844,-63.381673755449945,14,114.37722682952881,False,,,15,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-20-12,1597702812,1806.7066752910614,64404,cpus,10.142.0.3,1806.7066752910614,0,15,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.9492),-42.670783865113606,-65.51521294870562,15,115.27214193344116,False,,,16,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-22-07,1597702927,1921.9788172245026,64404,cpus,10.142.0.3,1921.9788172245026,0,16,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8327),-41.798051940531955,-67.60511554573222,16,114.62917637825012,False,,,17,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-24-02,1597703042,2036.6079936027527,64404,cpus,10.142.0.3,2036.6079936027527,0,17,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.9180),-39.68494712439904,-69.58936290195217,17,114.6026861667633,False,,,18,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-25-56,1597703156,2151.210679769516,64404,cpus,10.142.0.3,2151.210679769516,0,18,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8544),-59.290150111752496,-72.5538704075398,18,116.2720673084259,False,,,19,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-27-52,1597703272,2267.482747077942,64404,cpus,10.142.0.3,2267.482747077942,0,19,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8383),-14.733283202118338,-73.29053456764572,19,119.2703549861908,False,,,20,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-29-52,1597703392,2386.7531020641327,64404,cpus,10.142.0.3,2386.7531020641327,0,20,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.7773),-30.54741349107558,-61.591921987277985,20,115.46716904640198,False,,,21,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-31-47,1597703507,2502.2202711105347,64404,cpus,10.142.0.3,2502.2202711105347,0,21,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8721),-61.08596647335041,-56.159830748981264,21,116.01494312286377,False,,,22,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-33-43,1597703623,2618.2352142333984,64404,cpus,10.142.0.3,2618.2352142333984,0,22,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(1.0189),-34.77902808969671,-52.60134515275077,22,115.61180806159973,False,,,23,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-35-39,1597703739,2733.847022294998,64404,cpus,10.142.0.3,2733.847022294998,0,23,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8311),-23.662919460649213,-49.449692781114464,23,120.12741875648499,False,,,24,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-37-39,1597703859,2853.974441051483,64404,cpus,10.142.0.3,2853.974441051483,0,24,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8965),-49.56043637668762,-47.30672355936326,24,116.94256114959717,False,,,25,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-39-36,1597703976,2970.9170022010803,64404,cpus,10.142.0.3,2970.9170022010803,0,25,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8481),-52.109916443157225,-46.53998809088808,25,116.61784863471985,False,,,26,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-41-32,1597704092,3087.5348508358,64404,cpus,10.142.0.3,3087.5348508358,0,26,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8355),-41.150892192636526,-44.936219433132166,26,115.91508412361145,False,,,27,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-43-28,1597704208,3203.4499349594116,64404,cpus,10.142.0.3,3203.4499349594116,0,27,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.8160),-39.37832274081679,-43.16327511479345,27,117.49898362159729,False,,,28,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-45-26,1597704326,3320.948918581009,64404,cpus,10.142.0.3,3320.948918581009,0,28,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.6339),-26.732195472254524,-41.45471100914109,28,116.68349552154541,False,,,29,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-47-23,1597704443,3437.6324141025543,64404,cpus,10.142.0.3,3437.6324141025543,0,29,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
tensor(0.7721),-14.177111233967148,-39.565915468474,29,115.51949214935303,False,,,30,81a403bd07fb41d091f27de5585b6a77,2020-08-17_22-49-18,1597704558,3553.1519062519073,64404,cpus,10.142.0.3,3553.1519062519073,0,30,9af74_00030,"30_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=25"
