loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.2682),-197.17343948439924,-9.858671974219963,0,120.20187425613403,False,,,1,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_21-52-05,1597701125,120.20187425613403,64347,cpus,10.142.0.3,120.20187425613403,0,1,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.6866),-177.6308367254559,-18.740213810492758,1,125.11142134666443,False,,,2,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_21-54-10,1597701250,245.31329560279846,64347,cpus,10.142.0.3,245.31329560279846,0,2,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.7089),-160.0572300794943,-26.74307531446747,2,126.26649856567383,False,,,3,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_21-56-17,1597701377,371.5797941684723,64347,cpus,10.142.0.3,371.5797941684723,0,3,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4961),-206.50067700266771,-37.068109164600855,3,125.36712861061096,False,,,4,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_21-58-22,1597701502,496.94692277908325,64347,cpus,10.142.0.3,496.94692277908325,0,4,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5081),-157.68167019636658,-44.95219267441918,4,128.62659335136414,False,,,5,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-00-31,1597701631,625.5735161304474,64347,cpus,10.142.0.3,625.5735161304474,0,5,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3613),-213.70455764373088,-55.63742055660573,5,120.83981323242188,False,,,6,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-02-31,1597701751,746.4133293628693,64347,cpus,10.142.0.3,746.4133293628693,0,6,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3306),-208.47496397701116,-66.0611687554563,6,129.8547420501709,False,,,7,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-04-41,1597701881,876.2680714130402,64347,cpus,10.142.0.3,876.2680714130402,0,7,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4159),-152.6119110974842,-73.6917643103305,7,121.13635802268982,False,,,8,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-06-42,1597702002,997.40442943573,64347,cpus,10.142.0.3,997.40442943573,0,8,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4948),-188.3568077820539,-83.10960469943319,8,128.35986828804016,False,,,9,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-08-51,1597702131,1125.7642977237701,64347,cpus,10.142.0.3,1125.7642977237701,0,9,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4132),-189.3920301986103,-92.5792062093637,9,141.4147970676422,False,,,10,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-11-12,1597702272,1267.1790947914124,64347,cpus,10.142.0.3,1267.1790947914124,0,10,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2272),-206.35931579855892,-102.89717199929164,10,139.37025022506714,False,,,11,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-13-32,1597702412,1406.5493450164795,64347,cpus,10.142.0.3,1406.5493450164795,0,11,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3632),-221.451856415779,-113.96976482008058,11,128.33983612060547,False,,,12,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-15-40,1597702540,1534.889181137085,64347,cpus,10.142.0.3,1534.889181137085,0,12,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3719),-141.0133951627352,-121.02043457821735,12,121.5758273601532,False,,,13,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-17-41,1597702661,1656.4650084972382,64347,cpus,10.142.0.3,1656.4650084972382,0,13,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3613),-197.3927714497493,-130.89007315070484,13,121.83569622039795,False,,,14,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-19-43,1597702783,1778.300704717636,64347,cpus,10.142.0.3,1778.300704717636,0,14,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2753),-180.4740320731368,-139.91377475436167,14,121.99397873878479,False,,,15,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-21-45,1597702905,1900.294683456421,64347,cpus,10.142.0.3,1900.294683456421,0,15,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3272),-163.3940476354966,-148.08347713613648,15,121.02151250839233,False,,,16,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-23-46,1597703026,2021.3161959648132,64347,cpus,10.142.0.3,2021.3161959648132,0,16,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2514),-145.95057038409698,-155.3810056553413,16,121.39586400985718,False,,,17,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-25-48,1597703148,2142.7120599746704,64347,cpus,10.142.0.3,2142.7120599746704,0,17,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2407),-124.65981509997975,-161.61399641034032,17,120.99195909500122,False,,,18,a96a4fafd0fd4ab4921f8541fc475ca7,2020-08-17_22-27-49,1597703269,2263.7040190696716,64347,cpus,10.142.0.3,2263.7040190696716,0,18,9af74_00032,"32_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
