loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.3223),-197.17343948439924,-9.858671974219963,0,118.3260178565979,False,,,1,75479fb58a1c496e9677e5e6decda52d,2020-08-17_21-52-03,1597701123,118.3260178565979,64384,cpus,10.142.0.3,118.3260178565979,0,1,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.6624),-177.6308367254559,-18.740213810492758,1,121.38933610916138,False,,,2,75479fb58a1c496e9677e5e6decda52d,2020-08-17_21-54-05,1597701245,239.71535396575928,64384,cpus,10.142.0.3,239.71535396575928,0,2,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5322),-124.30322072282493,-24.955374846634005,2,123.13601541519165,False,,,3,75479fb58a1c496e9677e5e6decda52d,2020-08-17_21-56-08,1597701368,362.8513693809509,64384,cpus,10.142.0.3,362.8513693809509,0,3,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4697),-204.44761212039438,-35.17775545265373,3,123.05269765853882,False,,,4,75479fb58a1c496e9677e5e6decda52d,2020-08-17_21-58-11,1597701491,485.90406703948975,64384,cpus,10.142.0.3,485.90406703948975,0,4,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5268),-233.30686545163366,-46.84309872523541,4,125.072913646698,False,,,5,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-00-16,1597701616,610.9769806861877,64384,cpus,10.142.0.3,610.9769806861877,0,5,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5378),-230.27175301875823,-58.35668637617332,5,120.5908989906311,False,,,6,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-02-17,1597701737,731.5678796768188,64384,cpus,10.142.0.3,731.5678796768188,0,6,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4953),-202.14873487642032,-68.46412311999434,6,127.24587988853455,False,,,7,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-04-24,1597701864,858.8137595653534,64384,cpus,10.142.0.3,858.8137595653534,0,7,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4381),-221.7387560191345,-79.55106092095107,7,120.28592872619629,False,,,8,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-06-24,1597701984,979.0996882915497,64384,cpus,10.142.0.3,979.0996882915497,0,8,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5847),-198.60235005742533,-89.48117842382234,8,125.27217173576355,False,,,9,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-08-29,1597702109,1104.3718600273132,64384,cpus,10.142.0.3,1104.3718600273132,0,9,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4611),-201.98632901203126,-99.5804948744239,9,137.8094518184662,False,,,10,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-10-47,1597702247,1242.1813118457794,64384,cpus,10.142.0.3,1242.1813118457794,0,10,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3828),-216.67208410693542,-110.41409907977068,10,138.1587781906128,False,,,11,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-13-05,1597702385,1380.3400900363922,64384,cpus,10.142.0.3,1380.3400900363922,0,11,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5030),-231.43635541495618,-121.98591685051849,11,129.59964847564697,False,,,12,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-15-15,1597702515,1509.9397385120392,64384,cpus,10.142.0.3,1509.9397385120392,0,12,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3867),-197.8565704274091,-131.87874537188895,12,118.7401213645935,False,,,13,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-17-14,1597702634,1628.6798598766327,64384,cpus,10.142.0.3,1628.6798598766327,0,13,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4613),-197.60540962423332,-141.7590158531006,13,117.97430872917175,False,,,14,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-19-12,1597702752,1746.6541686058044,64384,cpus,10.142.0.3,1746.6541686058044,0,14,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3439),-224.14599353614645,-152.96631552990794,14,119.06438612937927,False,,,15,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-21-11,1597702871,1865.7185547351837,64384,cpus,10.142.0.3,1865.7185547351837,0,15,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5248),-168.59855211278827,-161.39624313554734,15,117.1381447315216,False,,,16,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-23-08,1597702988,1982.8566994667053,64384,cpus,10.142.0.3,1982.8566994667053,0,16,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3342),-159.31250771370847,-169.36186852123276,16,117.78613638877869,False,,,17,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-25-06,1597703106,2100.642835855484,64384,cpus,10.142.0.3,2100.642835855484,0,17,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3776),-167.8751138410733,-177.75562421328644,17,117.52035546302795,False,,,18,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-27-03,1597703223,2218.163191318512,64384,cpus,10.142.0.3,2218.163191318512,0,18,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3913),-160.18870773030972,-185.7650595998019,18,118.14072465896606,False,,,19,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-29-01,1597703341,2336.303915977478,64384,cpus,10.142.0.3,2336.303915977478,0,19,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4806),-191.01819231790674,-195.31596921569724,19,118.37546467781067,False,,,20,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-31-00,1597703460,2454.6793806552887,64384,cpus,10.142.0.3,2454.6793806552887,0,20,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3242),-175.9409556220305,-194.25434502257878,20,117.70028305053711,False,,,21,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-32-57,1597703577,2572.379663705826,64384,cpus,10.142.0.3,2572.379663705826,0,21,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3093),-113.74803952155199,-191.06020516238362,21,117.98260426521301,False,,,22,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-34-55,1597703695,2690.362267971039,64384,cpus,10.142.0.3,2690.362267971039,0,22,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3797),-138.25854312042196,-191.75797128226344,22,117.86200428009033,False,,,23,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-36-53,1597703813,2808.224272251129,64384,cpus,10.142.0.3,2808.224272251129,0,23,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3524),-151.09049470141952,-189.0901154113147,23,118.5713529586792,False,,,24,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-38-52,1597703932,2926.7956252098083,64384,cpus,10.142.0.3,2926.7956252098083,0,24,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2872),-157.60549212623496,-185.30504674504476,24,118.11810421943665,False,,,25,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-40-50,1597704050,3044.913729429245,64384,cpus,10.142.0.3,3044.913729429245,0,25,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4423),-115.05349849455324,-179.54413401883454,25,118.23299860954285,False,,,26,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-42-48,1597704168,3163.146728038788,64384,cpus,10.142.0.3,3163.146728038788,0,26,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3691),-108.83737697074817,-174.8785661235509,26,118.06906580924988,False,,,27,75479fb58a1c496e9677e5e6decda52d,2020-08-17_22-44-46,1597704286,3281.2157938480377,64384,cpus,10.142.0.3,3281.2157938480377,0,27,9af74_00034,"34_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
