loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4421),-197.17343948439924,-9.858671974219963,0,89.94893026351929,False,,,1,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_21-51-35,1597701095,89.94893026351929,64388,cpus,10.142.0.3,89.94893026351929,0,1,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.6773),-175.93819665396128,-18.655581806918025,1,87.94294786453247,False,,,2,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_21-53-03,1597701183,177.89187812805176,64388,cpus,10.142.0.3,177.89187812805176,0,2,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4981),-95.00287128325883,-23.40572537108097,2,98.63547039031982,False,,,3,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_21-54-42,1597701282,276.5273485183716,64388,cpus,10.142.0.3,276.5273485183716,0,3,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4098),-84.2105882555707,-27.6162547838595,3,91.94284772872925,False,,,4,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_21-56-14,1597701374,368.47019624710083,64388,cpus,10.142.0.3,368.47019624710083,0,4,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4070),-71.3574827411192,-31.18412892091546,4,94.47471070289612,False,,,5,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_21-57-48,1597701468,462.94490694999695,64388,cpus,10.142.0.3,462.94490694999695,0,5,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2904),-64.98059995525927,-34.433158918678416,5,92.56890749931335,False,,,6,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_21-59-21,1597701561,555.5138144493103,64388,cpus,10.142.0.3,555.5138144493103,0,6,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1705),-54.64469734414473,-37.165393785885655,6,95.07169914245605,False,,,7,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_22-00-56,1597701656,650.5855135917664,64388,cpus,10.142.0.3,650.5855135917664,0,7,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0632),-92.3072258695706,-41.78075507936419,7,89.8877432346344,False,,,8,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_22-02-26,1597701746,740.4732568264008,64388,cpus,10.142.0.3,740.4732568264008,0,8,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0985),-76.47442591649242,-45.60447637518881,8,96.74020957946777,False,,,9,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_22-04-02,1597701842,837.2134664058685,64388,cpus,10.142.0.3,837.2134664058685,0,9,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0195),-124.80143442589554,-51.84454809648359,9,91.26738834381104,False,,,10,35bad7f36b9b48cda4e426da9b9ab752,2020-08-17_22-05-34,1597701934,928.4808547496796,64388,cpus,10.142.0.3,928.4808547496796,0,10,9af74_00035,"35_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=27"
