loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4868),-197.17343948439924,-9.858671974219963,0,95.1952793598175,False,,,1,d88e7b4070644367a6606b1d42978c30,2020-08-17_21-51-40,1597701100,95.1952793598175,64405,cpus,10.142.0.3,95.1952793598175,0,1,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.7194),-175.93819665396128,-18.655581806918025,1,92.62255120277405,False,,,2,d88e7b4070644367a6606b1d42978c30,2020-08-17_21-53-13,1597701193,187.81783056259155,64405,cpus,10.142.0.3,187.81783056259155,0,2,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4266),-94.59614265772734,-23.385388939804393,2,99.8756468296051,False,,,3,d88e7b4070644367a6606b1d42978c30,2020-08-17_21-54-53,1597701293,287.69347739219666,64405,cpus,10.142.0.3,287.69347739219666,0,3,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4414),-99.67518599443886,-28.369148239526332,3,92.07455563545227,False,,,4,d88e7b4070644367a6606b1d42978c30,2020-08-17_21-56-25,1597701385,379.7680330276489,64405,cpus,10.142.0.3,379.7680330276489,0,4,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3865),-101.08717416429585,-33.423506947741124,4,94.53474640846252,False,,,5,d88e7b4070644367a6606b1d42978c30,2020-08-17_21-58-00,1597701480,474.30277943611145,64405,cpus,10.142.0.3,474.30277943611145,0,5,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4034),-124.3107848181534,-39.63904618864879,5,93.06641268730164,False,,,6,d88e7b4070644367a6606b1d42978c30,2020-08-17_21-59-33,1597701573,567.3691921234131,64405,cpus,10.142.0.3,567.3691921234131,0,6,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3929),-94.16886791061737,-44.347489584179655,6,94.1518783569336,False,,,7,d88e7b4070644367a6606b1d42978c30,2020-08-17_22-01-07,1597701667,661.5210704803467,64405,cpus,10.142.0.3,661.5210704803467,0,7,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3083),-88.81789098550345,-48.788384133454834,7,89.2617826461792,False,,,8,d88e7b4070644367a6606b1d42978c30,2020-08-17_22-02-36,1597701756,750.7828531265259,64405,cpus,10.142.0.3,750.7828531265259,0,8,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3623),-100.99515643742544,-53.8381419553261,8,96.83633995056152,False,,,9,d88e7b4070644367a6606b1d42978c30,2020-08-17_22-04-13,1597701853,847.6191930770874,64405,cpus,10.142.0.3,847.6191930770874,0,9,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2782),-91.73246386881219,-58.42476514876671,9,89.93740963935852,False,,,10,d88e7b4070644367a6606b1d42978c30,2020-08-17_22-05-43,1597701943,937.5566027164459,64405,cpus,10.142.0.3,937.5566027164459,0,10,9af74_00037,"37_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
