loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4552),-197.17343948439924,-9.858671974219963,0,113.73702073097229,False,,,1,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_21-51-59,1597701119,113.73702073097229,64395,cpus,10.142.0.3,113.73702073097229,0,1,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.8782),-177.6308367254559,-18.740213810492758,1,116.26898455619812,False,,,2,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_21-53-55,1597701235,230.0060052871704,64395,cpus,10.142.0.3,230.0060052871704,0,2,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.8234),-144.5886667036385,-25.969647145674685,2,118.57999801635742,False,,,3,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_21-55-54,1597701354,348.58600330352783,64395,cpus,10.142.0.3,348.58600330352783,0,3,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.6397),-268.50314028577503,-39.39480415996344,3,121.28446388244629,False,,,4,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_21-57-55,1597701475,469.8704671859741,64395,cpus,10.142.0.3,469.8704671859741,0,4,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5564),-193.27031256998256,-49.05831978846257,4,120.40660881996155,False,,,5,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_21-59-56,1597701596,590.2770760059357,64395,cpus,10.142.0.3,590.2770760059357,0,5,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.5273),-176.42065045237183,-57.87935231108116,5,118.2044620513916,False,,,6,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_22-01-54,1597701714,708.4815380573273,64395,cpus,10.142.0.3,708.4815380573273,0,6,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4319),-312.4343980543521,-73.50107221379876,6,121.2424590587616,False,,,7,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_22-03-55,1597701835,829.7239971160889,64395,cpus,10.142.0.3,829.7239971160889,0,7,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3569),-271.57939483349105,-87.08004195547332,7,118.51010656356812,False,,,8,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_22-05-54,1597701954,948.234103679657,64395,cpus,10.142.0.3,948.234103679657,0,8,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3301),-411.4400807592454,-107.65204599343558,8,119.04680585861206,False,,,9,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_22-07-53,1597702073,1067.280909538269,64395,cpus,10.142.0.3,1067.280909538269,0,9,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3312),-471.3068830347221,-131.2173901451717,9,134.38174414634705,False,,,10,19e7dc444f214da68ed0d5d5fa5dbc99,2020-08-17_22-10-07,1597702207,1201.662653684616,64395,cpus,10.142.0.3,1201.662653684616,0,10,9af74_00038,"38_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
