loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4504),-197.17343948439924,-9.858671974219963,0,86.10804033279419,False,,,1,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_21-51-31,1597701091,86.10804033279419,64353,cpus,10.142.0.3,86.10804033279419,0,1,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.6576),-175.93819665396128,-18.655581806918025,1,86.20200753211975,False,,,2,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_21-52-58,1597701178,172.31004786491394,64353,cpus,10.142.0.3,172.31004786491394,0,2,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4719),-119.58439572874745,-24.634801593355398,2,96.55788731575012,False,,,3,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_21-54-34,1597701274,268.86793518066406,64353,cpus,10.142.0.3,268.86793518066406,0,3,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3810),-111.54086346627817,-30.211844766669305,3,89.1214804649353,False,,,4,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_21-56-03,1597701363,357.98941564559937,64353,cpus,10.142.0.3,357.98941564559937,0,4,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3258),-110.01249828558898,-35.71246968094876,4,92.71738004684448,False,,,5,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_21-57-36,1597701456,450.70679569244385,64353,cpus,10.142.0.3,450.70679569244385,0,5,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3590),-107.91358129068801,-41.108148745483156,5,91.35913872718811,False,,,6,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_21-59-07,1597701547,542.065934419632,64353,cpus,10.142.0.3,542.065934419632,0,6,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3495),-95.40163499752786,-45.878230495359546,6,93.44745397567749,False,,,7,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-00-41,1597701641,635.5133883953094,64353,cpus,10.142.0.3,635.5133883953094,0,7,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3013),-84.82819170876793,-50.11964008079794,7,88.84739804267883,False,,,8,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-02-10,1597701730,724.3607864379883,64353,cpus,10.142.0.3,724.3607864379883,0,8,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1969),-89.77976960306839,-54.60862856095137,8,92.1832926273346,False,,,9,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-03-42,1597701822,816.5440790653229,64353,cpus,10.142.0.3,816.5440790653229,0,9,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3499),-72.52715913336415,-58.234986517619575,9,91.9934332370758,False,,,10,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-05-14,1597701914,908.5375123023987,64353,cpus,10.142.0.3,908.5375123023987,0,10,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1868),-80.73238865141619,-62.271605950190384,10,89.01623368263245,False,,,11,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-06-43,1597702003,997.5537459850311,64353,cpus,10.142.0.3,997.5537459850311,0,11,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2512),-74.77578763612605,-66.01039533199669,11,92.0252914428711,False,,,12,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-08-15,1597702095,1089.5790374279022,64353,cpus,10.142.0.3,1089.5790374279022,0,12,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1713),-68.15783873596403,-69.4182872687949,12,102.05463528633118,False,,,13,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-09-57,1597702197,1191.6336727142334,64353,cpus,10.142.0.3,1191.6336727142334,0,13,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1512),-60.01518640051288,-72.41904658882054,13,108.473806142807,False,,,14,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-11-45,1597702305,1300.1074788570404,64353,cpus,10.142.0.3,1300.1074788570404,0,14,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1280),-58.733269204493396,-75.3557100490452,14,100.8477680683136,False,,,15,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-13-26,1597702406,1400.955246925354,64353,cpus,10.142.0.3,1400.955246925354,0,15,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1645),-62.41426250506279,-78.47642317429835,15,98.1919641494751,False,,,16,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-15-04,1597702504,1499.147211074829,64353,cpus,10.142.0.3,1499.147211074829,0,16,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1332),-57.024469015700035,-81.32764662508336,16,89.06421852111816,False,,,17,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-16-33,1597702593,1588.2114295959473,64353,cpus,10.142.0.3,1588.2114295959473,0,17,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1175),-50.09602918918283,-83.8324480845425,17,89.24840593338013,False,,,18,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-18-03,1597702683,1677.4598355293274,64353,cpus,10.142.0.3,1677.4598355293274,0,18,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1498),-55.402413939716475,-86.60256878152833,18,89.7418110370636,False,,,19,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-19-32,1597702772,1767.201646566391,64353,cpus,10.142.0.3,1767.201646566391,0,19,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1976),-57.104470574029094,-89.45779231022979,19,89.74600100517273,False,,,20,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-21-02,1597702862,1856.9476475715637,64353,cpus,10.142.0.3,1856.9476475715637,0,20,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0637),-46.49078036066227,-81.92365935404294,20,89.98887705802917,False,,,21,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-22-32,1597702952,1946.936524629593,64353,cpus,10.142.0.3,1946.936524629593,0,21,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1872),-54.89698572763039,-75.87159880772639,21,89.48529314994812,False,,,22,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-24-02,1597703042,2036.421817779541,64353,cpus,10.142.0.3,2036.421817779541,0,22,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1408),-47.70610446141788,-72.2776842443599,22,90.85525417327881,False,,,23,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-25-32,1597703132,2127.27707195282,64353,cpus,10.142.0.3,2127.27707195282,0,23,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1905),-41.495146030514114,-68.7753983725717,23,91.26263952255249,False,,,24,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-27-04,1597703224,2218.5397114753723,64353,cpus,10.142.0.3,2218.5397114753723,0,24,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0657),-38.23538672850039,-65.18654279471725,24,91.22901272773743,False,,,25,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-28-35,1597703315,2309.7687242031097,64353,cpus,10.142.0.3,2309.7687242031097,0,25,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0750),-49.67603972983342,-62.27466571667452,25,91.31743836402893,False,,,26,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-30-06,1597703406,2401.0861625671387,64353,cpus,10.142.0.3,2401.0861625671387,0,26,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1986),-61.333687326529706,-60.57126833312462,26,91.62294125556946,False,,,27,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-31-38,1597703498,2492.709103822708,64353,cpus,10.142.0.3,2492.709103822708,0,27,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1403),-49.261843066340205,-58.79295090100324,27,91.27631664276123,False,,,28,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-33-09,1597703589,2583.9854204654694,64353,cpus,10.142.0.3,2583.9854204654694,0,28,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0668),-52.27723320197258,-56.91782408094845,28,91.79673385620117,False,,,29,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-34-41,1597703681,2675.7821543216705,64353,cpus,10.142.0.3,2675.7821543216705,0,29,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0093),-53.95819829238942,-55.98937603889971,29,92.92000985145569,False,,,30,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-36-14,1597703774,2768.702164173126,64353,cpus,10.142.0.3,2768.702164173126,0,30,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1122),-37.54168934685156,-53.82984107367148,30,93.04991745948792,False,,,31,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-37-47,1597703867,2861.752081632614,64353,cpus,10.142.0.3,2861.752081632614,0,31,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2397),-48.68789827957777,-52.52544660584406,31,92.37297248840332,False,,,32,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-39-19,1597703959,2954.1250541210175,64353,cpus,10.142.0.3,2954.1250541210175,0,32,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1289),-40.67901764168594,-51.15150555113016,32,92.71598792076111,False,,,33,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-40-52,1597704052,3046.8410420417786,64353,cpus,10.142.0.3,3046.8410420417786,0,33,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1840),-45.50807300237452,-50.42614988122324,33,92.58552503585815,False,,,34,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-42-25,1597704145,3139.4265670776367,64353,cpus,10.142.0.3,3139.4265670776367,0,34,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2507),-44.201140996883154,-49.69954347084273,34,93.04966473579407,False,,,35,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-43-58,1597704238,3232.476231813431,64353,cpus,10.142.0.3,3232.476231813431,0,35,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2383),-50.01006146890738,-49.07933341903495,35,93.69242858886719,False,,,36,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-45-31,1597704331,3326.168660402298,64353,cpus,10.142.0.3,3326.168660402298,0,36,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1452),-45.10015440940787,-48.48311768872034,36,94.61592626571655,False,,,37,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-47-06,1597704426,3420.7845866680145,64353,cpus,10.142.0.3,3420.7845866680145,0,37,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4193),-57.7961266090868,-48.86812255971554,37,94.32320809364319,False,,,38,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-48-40,1597704520,3515.1077947616577,64353,cpus,10.142.0.3,3515.1077947616577,0,38,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2234),-44.43629628499292,-48.31981667697937,38,99.54582095146179,False,,,39,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-50-20,1597704620,3614.6536157131195,64353,cpus,10.142.0.3,3614.6536157131195,0,39,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1457),-51.06992571125916,-48.01808943384087,39,94.89397764205933,False,,,40,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-51-55,1597704715,3709.547593355179,64353,cpus,10.142.0.3,3709.547593355179,0,40,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3123),-60.03432401438273,-48.695266616526894,40,94.95495843887329,False,,,41,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-53-30,1597704810,3804.502551794052,64353,cpus,10.142.0.3,3804.502551794052,0,41,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.2282),-39.434708587137706,-47.92215275950226,41,95.18268656730652,False,,,42,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-55-05,1597704905,3899.6852383613586,64353,cpus,10.142.0.3,3899.6852383613586,0,42,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0776),-48.66208850833827,-47.96995196184829,42,95.55214381217957,False,,,43,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-56-40,1597705000,3995.237382173538,64353,cpus,10.142.0.3,3995.237382173538,0,43,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1000),-54.772995162035656,-48.63384441842436,43,95.42589282989502,False,,,44,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-58-16,1597705096,4090.6632750034332,64353,cpus,10.142.0.3,4090.6632750034332,0,44,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1951),-53.92476030775174,-49.41831309738693,44,95.61565971374512,False,,,45,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_22-59-52,1597705192,4186.278934717178,64353,cpus,10.142.0.3,4186.278934717178,0,45,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1578),-33.591236238145854,-48.61407292280255,45,97.34630846977234,False,,,46,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-01-29,1597705289,4283.625243186951,64353,cpus,10.142.0.3,4283.625243186951,0,46,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.4257),-46.39179151839248,-47.86697813239569,46,96.2438325881958,False,,,47,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-03-05,1597705385,4379.8690757751465,64353,cpus,10.142.0.3,4379.8690757751465,0,47,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1091),-40.62467133751909,-47.43511954595463,47,96.36632823944092,False,,,48,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-04-41,1597705481,4476.235404014587,64353,cpus,10.142.0.3,4476.235404014587,0,48,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1441),-55.26886505874552,-47.58470113879327,48,96.76149535179138,False,,,49,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-06-18,1597705578,4572.996899366379,64353,cpus,10.142.0.3,4572.996899366379,0,49,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.3003),-39.02529491075412,-46.838055969711505,49,96.97200512886047,False,,,50,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-07-55,1597705675,4669.968904495239,64353,cpus,10.142.0.3,4669.968904495239,0,50,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0770),-56.111761788732245,-47.76655959180554,50,95.85108971595764,False,,,51,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-09-31,1597705771,4765.819994211197,64353,cpus,10.142.0.3,4765.819994211197,0,51,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0579),-49.43682928378784,-47.80400614201604,51,97.17145919799805,False,,,52,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-11-08,1597705868,4862.991453409195,64353,cpus,10.142.0.3,4862.991453409195,0,52,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1331),-38.65892810087667,-47.70300166497558,52,95.70273065567017,False,,,53,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-12-44,1597705964,4958.694184064865,64353,cpus,10.142.0.3,4958.694184064865,0,53,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1055),-55.41134082357864,-48.19816505603579,53,95.45058131217957,False,,,54,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-14-19,1597706059,5054.144765377045,64353,cpus,10.142.0.3,5054.144765377045,0,54,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0485),-40.85929744714248,-48.031072878548756,54,96.26538634300232,False,,,55,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-15-56,1597706156,5150.410151720047,64353,cpus,10.142.0.3,5150.410151720047,0,55,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9675),-56.62037955904175,-48.361588783055474,55,95.74407911300659,False,,,56,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-17-31,1597706251,5246.154230833054,64353,cpus,10.142.0.3,5246.154230833054,0,56,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0705),-52.078112085231524,-48.71048666684666,56,96.5732114315033,False,,,57,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-19-08,1597706348,5342.727442264557,64353,cpus,10.142.0.3,5342.727442264557,0,57,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(0.9749),-51.24046989118053,-48.38270383095134,57,96.75742602348328,False,,,58,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-20-45,1597706445,5439.48486828804,64353,cpus,10.142.0.3,5439.48486828804,0,58,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1917),-41.785572975200864,-48.250167665461746,58,96.7114315032959,False,,,59,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-22-21,1597706541,5536.196299791336,64353,cpus,10.142.0.3,5536.196299791336,0,59,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.1195),-53.473596816836775,-48.37035122074062,59,95.99749088287354,False,,,60,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-23-57,1597706637,5632.19379067421,64353,cpus,10.142.0.3,5632.19379067421,0,60,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
tensor(1.0978),-50.82509193770743,-47.90988961690685,60,96.7623074054718,False,,,61,7d3433f75d8645c1afc52fabab8ecb37,2020-08-17_23-25-34,1597706734,5728.956098079681,64353,cpus,10.142.0.3,5728.956098079681,0,61,9af74_00039,"39_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=27"
