loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6365),-264.51966509843027,-13.225983254921513,0,93.62376022338867,False,,,1,d1c5e07e2639497b929100f4054b64dd,2020-08-17_21-51-38,1597701098,93.62376022338867,64386,cpus,10.142.0.3,93.62376022338867,0,1,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.7517),-207.20395318170836,-23.58618091400693,1,89.7221736907959,False,,,2,d1c5e07e2639497b929100f4054b64dd,2020-08-17_21-53-08,1597701188,183.34593391418457,64386,cpus,10.142.0.3,183.34593391418457,0,2,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5267),-124.49142692051903,-29.81075226003288,2,100.64420056343079,False,,,3,d1c5e07e2639497b929100f4054b64dd,2020-08-17_21-54-48,1597701288,283.99013447761536,64386,cpus,10.142.0.3,283.99013447761536,0,3,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3758),-123.57985478838091,-35.98974499945193,3,92.87710905075073,False,,,4,d1c5e07e2639497b929100f4054b64dd,2020-08-17_21-56-21,1597701381,376.8672435283661,64386,cpus,10.142.0.3,376.8672435283661,0,4,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3320),-110.0134279530314,-41.490416397103495,4,94.80897235870361,False,,,5,d1c5e07e2639497b929100f4054b64dd,2020-08-17_21-57-56,1597701476,471.6762158870697,64386,cpus,10.142.0.3,471.6762158870697,0,5,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3613),-90.22218698408737,-46.00152574630786,5,93.55712842941284,False,,,6,d1c5e07e2639497b929100f4054b64dd,2020-08-17_21-59-30,1597701570,565.2333443164825,64386,cpus,10.142.0.3,565.2333443164825,0,6,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2609),-91.17954449494485,-50.5605029710551,6,95.62293291091919,False,,,7,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-01-05,1597701665,660.8562772274017,64386,cpus,10.142.0.3,660.8562772274017,0,7,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2359),-89.87595482928124,-55.05430071251917,7,90.14555764198303,False,,,8,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-02-35,1597701755,751.0018348693848,64386,cpus,10.142.0.3,751.0018348693848,0,8,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2134),-73.67862556160229,-58.73823199059929,8,97.99668741226196,False,,,9,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-04-13,1597701853,848.9985222816467,64386,cpus,10.142.0.3,848.9985222816467,0,9,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1669),-84.32481807074083,-62.95447289413632,9,90.68243479728699,False,,,10,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-05-44,1597701944,939.6809570789337,64386,cpus,10.142.0.3,939.6809570789337,0,10,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2172),-97.23184305301807,-67.81606504678723,10,90.2138934135437,False,,,11,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-07-14,1597702034,1029.8948504924774,64386,cpus,10.142.0.3,1029.8948504924774,0,11,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1632),-93.81438957543457,-72.50678452555897,11,98.65544199943542,False,,,12,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-08-53,1597702133,1128.5502924919128,64386,cpus,10.142.0.3,1128.5502924919128,0,12,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2252),-59.06679967909025,-75.46012450951348,12,107.55334520339966,False,,,13,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-10-41,1597702241,1236.1036376953125,64386,cpus,10.142.0.3,1236.1036376953125,0,13,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1685),-73.65822995557042,-79.14303600729201,13,104.96670460700989,False,,,14,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-12-25,1597702345,1341.0703423023224,64386,cpus,10.142.0.3,1341.0703423023224,0,14,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1634),-82.16484151945303,-83.25127808326465,14,106.0757269859314,False,,,15,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-14-12,1597702452,1447.1460692882538,64386,cpus,10.142.0.3,1447.1460692882538,0,15,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1532),-78.40609887189609,-87.17158302685945,15,93.09192609786987,False,,,16,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-15-45,1597702545,1540.2379953861237,64386,cpus,10.142.0.3,1540.2379953861237,0,16,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2328),-64.92327128097047,-90.41774659090798,16,91.52442646026611,False,,,17,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-17-16,1597702636,1631.7624218463898,64386,cpus,10.142.0.3,1631.7624218463898,0,17,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1170),-62.1672019520024,-93.52610668850811,17,92.22974562644958,False,,,18,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-18-48,1597702728,1723.9921674728394,64386,cpus,10.142.0.3,1723.9921674728394,0,18,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1767),-81.38471430153757,-97.59534240358498,18,91.21306276321411,False,,,19,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-20-20,1597702820,1815.2052302360535,64386,cpus,10.142.0.3,1815.2052302360535,0,19,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2042),-71.36841550756849,-101.1637631789634,19,91.60118293762207,False,,,20,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-21-51,1597702911,1906.8064131736755,64386,cpus,10.142.0.3,1906.8064131736755,0,20,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2720),-68.71121125895961,-91.37334048698986,20,91.95939087867737,False,,,21,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-23-23,1597703003,1998.765804052353,64386,cpus,10.142.0.3,1998.765804052353,0,21,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1208),-53.065730132658054,-83.66642933453736,21,93.50984334945679,False,,,22,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-24-57,1597703097,2092.2756474018097,64386,cpus,10.142.0.3,2092.2756474018097,0,22,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2016),-49.56550740432033,-79.92013335872741,22,92.433349609375,False,,,23,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-26-29,1597703189,2184.7089970111847,64386,cpus,10.142.0.3,2184.7089970111847,0,23,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1693),-49.364648950332146,-76.20937306682497,23,92.92323088645935,False,,,24,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-28-02,1597703282,2277.632227897644,64386,cpus,10.142.0.3,2277.632227897644,0,24,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1194),-55.1859387461328,-73.46799860648002,24,93.1581301689148,False,,,25,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-29-35,1597703375,2370.790358066559,64386,cpus,10.142.0.3,2370.790358066559,0,25,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2092),-38.239257137186954,-70.86885211413502,25,94.50748467445374,False,,,26,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-31-10,1597703470,2465.2978427410126,64386,cpus,10.142.0.3,2465.2978427410126,0,26,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1378),-46.7878752616893,-68.64926865247223,26,94.02139210700989,False,,,27,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-32-44,1597703564,2559.3192348480225,64386,cpus,10.142.0.3,2559.3192348480225,0,27,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1153),-64.47381209113176,-67.37916151556477,27,94.32261109352112,False,,,28,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-34-18,1597703658,2653.6418459415436,64386,cpus,10.142.0.3,2653.6418459415436,0,28,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0833),-48.241813747917625,-66.10732092488054,28,94.81487560272217,False,,,29,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-35-53,1597703753,2748.4567215442657,64386,cpus,10.142.0.3,2748.4567215442657,0,29,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1226),-38.09050054389076,-63.79560504853803,29,94.99010157585144,False,,,30,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-37-28,1597703848,2843.446823120117,64386,cpus,10.142.0.3,2843.446823120117,0,30,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1364),-59.53361234655184,-61.910693513214724,30,94.85483407974243,False,,,31,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-39-03,1597703943,2938.3016571998596,64386,cpus,10.142.0.3,2938.3016571998596,0,31,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2182),-46.527134033282735,-59.54633073610713,31,95.52970004081726,False,,,32,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-40-38,1597704038,3033.831357240677,64386,cpus,10.142.0.3,3033.831357240677,0,32,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1736),-35.69949679397231,-58.37796559185123,32,94.63634037971497,False,,,33,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-42-13,1597704133,3128.467697620392,64386,cpus,10.142.0.3,3128.467697620392,0,33,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2563),-28.929206261818855,-56.141514407163655,33,95.6495840549469,False,,,34,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-43-49,1597704229,3224.1172816753387,64386,cpus,10.142.0.3,3224.1172816753387,0,34,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4279),-43.5015488912599,-54.208349775754016,34,95.6799783706665,False,,,35,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-45-24,1597704324,3319.7972600460052,64386,cpus,10.142.0.3,3319.7972600460052,0,35,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2513),-56.681249229596425,-53.12210729363903,35,96.57656788825989,False,,,36,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-47-01,1597704421,3416.373827934265,64386,cpus,10.142.0.3,3416.373827934265,0,36,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0742),-31.171940453254518,-51.434540752253234,36,96.36632704734802,False,,,37,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-48-37,1597704517,3512.740154981613,64386,cpus,10.142.0.3,3512.740154981613,0,37,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.1317),-63.8497912285127,-51.518670216078746,37,95.45042562484741,False,,,38,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-50-13,1597704613,3608.1905806064606,64386,cpus,10.142.0.3,3608.1905806064606,0,38,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0076),-92.02217445973423,-52.050543223988576,38,96.49053645133972,False,,,39,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-51-49,1597704709,3704.6811170578003,64386,cpus,10.142.0.3,3704.6811170578003,0,39,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0587),-62.09569056289831,-51.58690697675506,39,100.60403800010681,False,,,40,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-53-30,1597704810,3805.285155057907,64386,cpus,10.142.0.3,3805.285155057907,0,40,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
tensor(1.0240),-78.45778050787214,-52.074235439200685,40,98.14840364456177,False,,,41,d1c5e07e2639497b929100f4054b64dd,2020-08-17_22-55-08,1597704908,3903.433558702469,64386,cpus,10.142.0.3,3903.433558702469,0,41,9af74_00003,"3_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=True,seed=25"
