loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.3299),-197.17343948439924,-9.858671974219963,0,120.42866468429565,False,,,1,20e13cb2974140df833e61f04eb71d0f,2020-08-17_21-52-06,1597701126,120.42866468429565,64402,cpus,10.142.0.3,120.42866468429565,0,1,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7334),-177.6308367254559,-18.740213810492758,1,124.75857400894165,False,,,2,20e13cb2974140df833e61f04eb71d0f,2020-08-17_21-54-10,1597701250,245.1872386932373,64402,cpus,10.142.0.3,245.1872386932373,0,2,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.6697),-72.38125616273126,-22.35927661862932,2,124.46022844314575,False,,,3,20e13cb2974140df833e61f04eb71d0f,2020-08-17_21-56-15,1597701375,369.64746713638306,64402,cpus,10.142.0.3,369.64746713638306,0,3,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5272),-74.7978700297718,-26.09917012011791,3,121.98349380493164,False,,,4,20e13cb2974140df833e61f04eb71d0f,2020-08-17_21-58-17,1597701497,491.6309609413147,64402,cpus,10.142.0.3,491.6309609413147,0,4,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4722),-69.33458481024087,-29.565899360629952,4,125.26463866233826,False,,,5,20e13cb2974140df833e61f04eb71d0f,2020-08-17_22-00-22,1597701622,616.895599603653,64402,cpus,10.142.0.3,616.895599603653,0,5,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3683),-65.70618153180546,-32.85120843722022,5,117.80472087860107,False,,,6,20e13cb2974140df833e61f04eb71d0f,2020-08-17_22-02-20,1597701740,734.700320482254,64402,cpus,10.142.0.3,734.700320482254,0,6,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4194),-109.97713485506438,-38.35006517997344,6,126.14237880706787,False,,,7,20e13cb2974140df833e61f04eb71d0f,2020-08-17_22-04-26,1597701866,860.8426992893219,64402,cpus,10.142.0.3,860.8426992893219,0,7,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3963),-100.80843111337626,-43.390486735642256,7,119.60001134872437,False,,,8,20e13cb2974140df833e61f04eb71d0f,2020-08-17_22-06-26,1597701986,980.4427106380463,64402,cpus,10.142.0.3,980.4427106380463,0,8,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4060),-68.17001114455171,-46.798987292869846,8,126.02211332321167,False,,,9,20e13cb2974140df833e61f04eb71d0f,2020-08-17_22-08-32,1597702112,1106.464823961258,64402,cpus,10.142.0.3,1106.464823961258,0,9,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4757),-133.75625683806297,-53.48680013477299,9,139.57084131240845,False,,,10,20e13cb2974140df833e61f04eb71d0f,2020-08-17_22-10-51,1597702251,1246.0356652736664,64402,cpus,10.142.0.3,1246.0356652736664,0,10,9af74_00040,"40_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
