loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.3671),-197.17343948439924,-9.858671974219963,0,115.48310112953186,False,,,1,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_21-52-01,1597701121,115.48310112953186,64365,cpus,10.142.0.3,115.48310112953186,0,1,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7619),-177.6308367254559,-18.740213810492758,1,119.84449791908264,False,,,2,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_21-54-01,1597701241,235.3275990486145,64365,cpus,10.142.0.3,235.3275990486145,0,2,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.8297),-89.78715431787695,-23.229571526386607,2,119.99010181427002,False,,,3,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_21-56-01,1597701361,355.3177008628845,64365,cpus,10.142.0.3,355.3177008628845,0,3,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5325),-69.55541281030747,-26.70734216690198,3,121.01816034317017,False,,,4,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_21-58-02,1597701482,476.3358612060547,64365,cpus,10.142.0.3,476.3358612060547,0,4,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5927),-49.60722613221599,-29.187703473512776,4,121.78237080574036,False,,,5,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-00-03,1597701603,598.118232011795,64365,cpus,10.142.0.3,598.118232011795,0,5,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4228),-55.1927429021267,-31.947340618619116,5,118.40534329414368,False,,,6,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-02-02,1597701722,716.5235753059387,64365,cpus,10.142.0.3,716.5235753059387,0,6,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4943),-26.04385537592874,-33.24953338741555,6,123.65672135353088,False,,,7,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-04-06,1597701846,840.1802966594696,64365,cpus,10.142.0.3,840.1802966594696,0,7,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4646),-48.73296964797392,-35.68618186981425,7,118.35376214981079,False,,,8,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-06-04,1597701964,958.5340588092804,64365,cpus,10.142.0.3,958.5340588092804,0,8,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2660),-44.52828938979066,-37.91259633930378,8,119.24089074134827,False,,,9,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-08-03,1597702083,1077.7749495506287,64365,cpus,10.142.0.3,1077.7749495506287,0,9,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2855),-52.869533419671505,-40.556073010287356,9,135.92680406570435,False,,,10,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-10-19,1597702219,1213.701753616333,64365,cpus,10.142.0.3,1213.701753616333,0,10,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3597),-51.31084400346914,-43.12161521046081,10,134.3047389984131,False,,,11,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-12-33,1597702353,1348.006492614746,64365,cpus,10.142.0.3,1348.006492614746,0,11,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3343),-55.73604398598737,-45.90841740976018,11,132.99734473228455,False,,,12,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-14-46,1597702486,1481.0038373470306,64365,cpus,10.142.0.3,1481.0038373470306,0,12,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3374),-51.542805852819676,-48.48555770240117,12,115.47582840919495,False,,,13,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-16-42,1597702602,1596.4796657562256,64365,cpus,10.142.0.3,1596.4796657562256,0,13,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2228),-57.6316614191334,-51.36714077335783,13,115.43985843658447,False,,,14,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-18-37,1597702717,1711.91952419281,64365,cpus,10.142.0.3,1711.91952419281,0,14,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3497),-49.32811507385347,-53.83354652705051,14,115.91097116470337,False,,,15,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-20-33,1597702833,1827.8304953575134,64365,cpus,10.142.0.3,1827.8304953575134,0,15,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2582),-50.0754976329284,-56.33732140869692,15,116.49911594390869,False,,,16,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-22-30,1597702950,1944.3296113014221,64365,cpus,10.142.0.3,1944.3296113014221,0,16,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1912),-52.88637919828435,-58.981640368611146,16,115.530996799469,False,,,17,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-24-25,1597703065,2059.860608100891,64365,cpus,10.142.0.3,2059.860608100891,0,17,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1932),-57.24839146511639,-61.844059941866966,17,115.49242401123047,False,,,18,5355eb3c7ec0447f9b04c32f8b7b357e,2020-08-17_22-26-21,1597703181,2175.3530321121216,64365,cpus,10.142.0.3,2175.3530321121216,0,18,9af74_00042,"42_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
