loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6111),-197.17343948439924,-9.858671974219963,0,88.52881789207458,False,,,1,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_21-51-34,1597701094,88.52881789207458,64366,cpus,10.142.0.3,88.52881789207458,0,1,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7405),-175.93819665396128,-18.655581806918025,1,86.627854347229,False,,,2,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_21-53-01,1597701181,175.1566722393036,64366,cpus,10.142.0.3,175.1566722393036,0,2,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5561),-111.40205237428503,-24.225684425632277,2,96.55532264709473,False,,,3,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_21-54-37,1597701277,271.7119948863983,64366,cpus,10.142.0.3,271.7119948863983,0,3,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4564),-88.08832885491992,-28.630100868378275,3,89.37654662132263,False,,,4,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_21-56-06,1597701366,361.08854150772095,64366,cpus,10.142.0.3,361.08854150772095,0,4,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3672),-82.80034197800808,-32.77011796727868,4,91.95933318138123,False,,,5,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_21-57-38,1597701458,453.0478746891022,64366,cpus,10.142.0.3,453.0478746891022,0,5,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3838),-81.18059934801718,-36.82914793467954,5,91.60110139846802,False,,,6,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_21-59-10,1597701550,544.6489760875702,64366,cpus,10.142.0.3,544.6489760875702,0,6,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3349),-75.61923714344508,-40.61010979185179,6,93.17133831977844,False,,,7,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_22-00-43,1597701643,637.8203144073486,64366,cpus,10.142.0.3,637.8203144073486,0,7,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3581),-68.12277019643092,-44.016248301673336,7,87.83163189888,False,,,8,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_22-02-11,1597701731,725.6519463062286,64366,cpus,10.142.0.3,725.6519463062286,0,8,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2438),-62.17011859619977,-47.12475423148332,8,91.7431869506836,False,,,9,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_22-03-43,1597701823,817.3951332569122,64366,cpus,10.142.0.3,817.3951332569122,0,9,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2377),-60.41317559814238,-50.145413011390445,9,91.4094603061676,False,,,10,98b6eecbfe0d4588b252e57ed62fdded,2020-08-17_22-05-14,1597701914,908.8045935630798,64366,cpus,10.142.0.3,908.8045935630798,0,10,9af74_00043,"43_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=27"
