loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4733),-197.17343948439924,-9.858671974219963,0,118.56647205352783,False,,,1,4048c154e77e4630bc6df49c097680aa,2020-08-17_21-52-04,1597701124,118.56647205352783,64383,cpus,10.142.0.3,118.56647205352783,0,1,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7904),-177.6308367254559,-18.740213810492758,1,123.84413504600525,False,,,2,4048c154e77e4630bc6df49c097680aa,2020-08-17_21-54-08,1597701248,242.41060709953308,64383,cpus,10.142.0.3,242.41060709953308,0,2,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5788),-59.45471465094067,-21.71294954303979,2,122.2697913646698,False,,,3,4048c154e77e4630bc6df49c097680aa,2020-08-17_21-56-10,1597701370,364.6803984642029,64383,cpus,10.142.0.3,364.6803984642029,0,3,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5048),-99.40010760877074,-26.68295492347833,3,120.65139436721802,False,,,4,4048c154e77e4630bc6df49c097680aa,2020-08-17_21-58-11,1597701491,485.3317928314209,64383,cpus,10.142.0.3,485.3317928314209,0,4,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3633),-47.877569314203164,-29.076833389188486,4,124.03750538825989,False,,,5,4048c154e77e4630bc6df49c097680aa,2020-08-17_22-00-15,1597701615,609.3692982196808,64383,cpus,10.142.0.3,609.3692982196808,0,5,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3823),-72.58528247597613,-32.70609751298729,5,118.11381196975708,False,,,6,4048c154e77e4630bc6df49c097680aa,2020-08-17_22-02-13,1597701733,727.4831101894379,64383,cpus,10.142.0.3,727.4831101894379,0,6,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2348),-93.99926051022126,-37.40606053849835,6,122.56163597106934,False,,,7,4048c154e77e4630bc6df49c097680aa,2020-08-17_22-04-15,1597701855,850.0447461605072,64383,cpus,10.142.0.3,850.0447461605072,0,7,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1660),-83.72929774680713,-41.59252542583871,7,116.92073893547058,False,,,8,4048c154e77e4630bc6df49c097680aa,2020-08-17_22-06-12,1597701972,966.9654850959778,64383,cpus,10.142.0.3,966.9654850959778,0,8,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2321),-95.05098898599621,-46.34507487513852,8,117.37186241149902,False,,,9,4048c154e77e4630bc6df49c097680aa,2020-08-17_22-08-10,1597702090,1084.3373475074768,64383,cpus,10.142.0.3,1084.3373475074768,0,9,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1926),-106.78803671097788,-51.68447671068742,9,134.00305008888245,False,,,10,4048c154e77e4630bc6df49c097680aa,2020-08-17_22-10-24,1597702224,1218.3403975963593,64383,cpus,10.142.0.3,1218.3403975963593,0,10,9af74_00044,"44_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
