loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5527),-197.17343948439924,-9.858671974219963,0,95.44533658027649,False,,,1,52b43cb8b90242e2aa563c25a926d459,2020-08-17_21-51-41,1597701101,95.44533658027649,64352,cpus,10.142.0.3,95.44533658027649,0,1,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7354),-175.93819665396128,-18.655581806918025,1,90.72784972190857,False,,,2,52b43cb8b90242e2aa563c25a926d459,2020-08-17_21-53-12,1597701192,186.17318630218506,64352,cpus,10.142.0.3,186.17318630218506,0,2,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.6078),-100.4967057891795,-23.680417096377,2,100.39306855201721,False,,,3,52b43cb8b90242e2aa563c25a926d459,2020-08-17_21-54-52,1597701292,286.56625485420227,64352,cpus,10.142.0.3,286.56625485420227,0,3,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4957),-99.71938218919173,-28.666386205836584,3,92.87633061408997,False,,,4,52b43cb8b90242e2aa563c25a926d459,2020-08-17_21-56-25,1597701385,379.44258546829224,64352,cpus,10.142.0.3,379.44258546829224,0,4,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3938),-82.83569742415563,-32.80817107704437,4,94.0329282283783,False,,,5,52b43cb8b90242e2aa563c25a926d459,2020-08-17_21-57-59,1597701479,473.47551369667053,64352,cpus,10.142.0.3,473.47551369667053,0,5,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2975),-81.14162700033363,-36.86525242706105,5,93.17254400253296,False,,,6,52b43cb8b90242e2aa563c25a926d459,2020-08-17_21-59-32,1597701572,566.6480576992035,64352,cpus,10.142.0.3,566.6480576992035,0,6,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3455),-79.71895564300107,-40.85120020921111,6,93.53279256820679,False,,,7,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-01-06,1597701666,660.1808502674103,64352,cpus,10.142.0.3,660.1808502674103,0,7,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2727),-73.13499931406395,-44.507950174914306,7,88.60847663879395,False,,,8,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-02-34,1597701754,748.7893269062042,64352,cpus,10.142.0.3,748.7893269062042,0,8,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2337),-77.3687576830855,-48.37638805906858,8,96.00068354606628,False,,,9,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-04-10,1597701850,844.7900104522705,64352,cpus,10.142.0.3,844.7900104522705,0,9,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2261),-79.76256370197972,-52.36451624416757,9,90.23566913604736,False,,,10,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-05-40,1597701940,935.0256795883179,64352,cpus,10.142.0.3,935.0256795883179,0,10,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2677),-87.40132753164434,-56.73458262074978,10,89.46845388412476,False,,,11,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-07-10,1597702030,1024.4941334724426,64352,cpus,10.142.0.3,1024.4941334724426,0,11,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1843),-70.0604763186017,-60.23760643667987,11,97.49666357040405,False,,,12,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-08-47,1597702127,1121.9907970428467,64352,cpus,10.142.0.3,1121.9907970428467,0,12,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2122),-82.14923517665494,-64.34506819551261,12,105.1652193069458,False,,,13,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-10-33,1597702233,1227.1560163497925,64352,cpus,10.142.0.3,1227.1560163497925,0,13,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2377),-78.61496858108337,-68.27581662456677,13,102.70297312736511,False,,,14,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-12-15,1597702335,1329.8589894771576,64352,cpus,10.142.0.3,1329.8589894771576,0,14,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1607),-80.37867910095488,-72.29475057961453,14,104.65483069419861,False,,,15,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-14-00,1597702440,1434.5138201713562,64352,cpus,10.142.0.3,1434.5138201713562,0,15,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1709),-80.74969572162469,-76.33223536569577,15,92.50755524635315,False,,,16,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-15-32,1597702532,1527.0213754177094,64352,cpus,10.142.0.3,1527.0213754177094,0,16,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1348),-76.63438078333809,-80.16395440486266,16,89.5802321434021,False,,,17,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-17-02,1597702622,1616.6016075611115,64352,cpus,10.142.0.3,1616.6016075611115,0,17,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.0859),-79.55970839927642,-84.1419398248265,17,89.19824624061584,False,,,18,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-18-31,1597702711,1705.7998538017273,64352,cpus,10.142.0.3,1705.7998538017273,0,18,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1282),-82.74477143704897,-88.27917839667893,18,89.38755321502686,False,,,19,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-20-01,1597702801,1795.1874070167542,64352,cpus,10.142.0.3,1795.1874070167542,0,19,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.0725),-76.06493001068054,-92.08242489721297,19,89.79059863090515,False,,,20,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-21-30,1597702890,1884.9780056476593,64352,cpus,10.142.0.3,1884.9780056476593,0,20,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.1291),-74.07488183865972,-85.92749701492599,20,90.07471203804016,False,,,21,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-23-00,1597702980,1975.0527176856995,64352,cpus,10.142.0.3,1975.0527176856995,0,21,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2052),-81.29243289473173,-81.1952088269645,21,89.97118306159973,False,,,22,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-24-30,1597703070,2065.023900747299,64352,cpus,10.142.0.3,2065.023900747299,0,22,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.0604),-76.300398760005,-79.98539347550579,22,90.39368629455566,False,,,23,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-26-01,1597703161,2155.417587041855,64352,cpus,10.142.0.3,2155.417587041855,0,23,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.0545),-72.29425363682653,-78.61413704788751,23,90.56556987762451,False,,,24,52b43cb8b90242e2aa563c25a926d459,2020-08-17_22-27-31,1597703251,2245.9831569194794,64352,cpus,10.142.0.3,2245.9831569194794,0,24,9af74_00045,"45_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
