loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5260),-197.17343948439924,-9.858671974219963,0,113.16296434402466,False,,,1,c832ff35368140f397c1f4421e52222a,2020-08-17_21-51-59,1597701119,113.16296434402466,64400,cpus,10.142.0.3,113.16296434402466,0,1,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.8957),-177.6308367254559,-18.740213810492758,1,116.34913229942322,False,,,2,c832ff35368140f397c1f4421e52222a,2020-08-17_21-53-55,1597701235,229.51209664344788,64400,cpus,10.142.0.3,229.51209664344788,0,2,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.8499),-88.24699807247819,-23.152563714116667,2,117.50145816802979,False,,,3,c832ff35368140f397c1f4421e52222a,2020-08-17_21-55-52,1597701352,347.01355481147766,64400,cpus,10.142.0.3,347.01355481147766,0,3,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7887),-146.54419170270208,-30.479773299251768,3,119.76930713653564,False,,,4,c832ff35368140f397c1f4421e52222a,2020-08-17_21-57-52,1597701472,466.7828619480133,64400,cpus,10.142.0.3,466.7828619480133,0,4,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4444),-157.84844649008565,-38.37219562375605,4,120.19263625144958,False,,,5,c832ff35368140f397c1f4421e52222a,2020-08-17_21-59-52,1597701592,586.9754981994629,64400,cpus,10.142.0.3,586.9754981994629,0,5,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3668),-87.0256219105842,-42.72347671928526,5,117.54731702804565,False,,,6,c832ff35368140f397c1f4421e52222a,2020-08-17_22-01-50,1597701710,704.5228152275085,64400,cpus,10.142.0.3,704.5228152275085,0,6,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4323),-105.08702466012588,-47.97782795229155,6,118.9321563243866,False,,,7,c832ff35368140f397c1f4421e52222a,2020-08-17_22-03-49,1597701829,823.4549715518951,64400,cpus,10.142.0.3,823.4549715518951,0,7,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4396),-79.76552546979514,-51.96610422578131,7,118.562570810318,False,,,8,c832ff35368140f397c1f4421e52222a,2020-08-17_22-05-47,1597701947,942.0175423622131,64400,cpus,10.142.0.3,942.0175423622131,0,8,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5045),-144.77150222574804,-59.204679337068704,8,115.4107096195221,False,,,9,c832ff35368140f397c1f4421e52222a,2020-08-17_22-07-43,1597702063,1057.4282519817352,64400,cpus,10.142.0.3,1057.4282519817352,0,9,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4098),-108.50584860300202,-64.6299717672188,9,127.90971302986145,False,,,10,c832ff35368140f397c1f4421e52222a,2020-08-17_22-09-51,1597702191,1185.3379650115967,64400,cpus,10.142.0.3,1185.3379650115967,0,10,9af74_00046,"46_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
