loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5719),-197.17343948439924,-9.858671974219963,0,86.46171545982361,False,,,1,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_21-51-32,1597701092,86.46171545982361,64387,cpus,10.142.0.3,86.46171545982361,0,1,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.7474),-175.93819665396128,-18.655581806918025,1,86.53045654296875,False,,,2,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_21-52-58,1597701178,172.99217200279236,64387,cpus,10.142.0.3,172.99217200279236,0,2,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.5144),-92.78093730424015,-23.294628672130035,2,97.17084908485413,False,,,3,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_21-54-36,1597701276,270.1630210876465,64387,cpus,10.142.0.3,270.1630210876465,0,3,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3990),-78.62354752662654,-27.22580604846136,3,89.96876668930054,False,,,4,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_21-56-06,1597701366,360.131787776947,64387,cpus,10.142.0.3,360.131787776947,0,4,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3240),-91.63450365689691,-31.807531231306207,4,92.41054153442383,False,,,5,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_21-57-38,1597701458,452.54232931137085,64387,cpus,10.142.0.3,452.54232931137085,0,5,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4020),-92.64326451471307,-36.43969445704186,5,91.27752828598022,False,,,6,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_21-59-09,1597701549,543.8198575973511,64387,cpus,10.142.0.3,543.8198575973511,0,6,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.4048),-83.5497807439226,-40.61718349423799,6,93.10608649253845,False,,,7,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_22-00-42,1597701642,636.9259440898895,64387,cpus,10.142.0.3,636.9259440898895,0,7,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3233),-78.21777492637894,-44.52807224055694,7,88.62876868247986,False,,,8,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_22-02-11,1597701731,725.5547127723694,64387,cpus,10.142.0.3,725.5547127723694,0,8,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.3207),-81.4699331841687,-48.601568899765375,8,92.56675124168396,False,,,9,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_22-03-44,1597701824,818.1214640140533,64387,cpus,10.142.0.3,818.1214640140533,0,9,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
tensor(1.2136),-77.30660851862413,-52.46689932569658,9,91.60426473617554,False,,,10,cc9af1e2117d4a69a92f166b6a2d99b4,2020-08-17_22-05-15,1597701915,909.7257287502289,64387,cpus,10.142.0.3,909.7257287502289,0,10,9af74_00047,"47_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=True,seed=27"
