loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.2787),-197.17343948439924,-9.858671974219963,0,126.32867765426636,False,,,1,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_21-52-12,1597701132,126.32867765426636,64381,cpus,10.142.0.3,126.32867765426636,0,1,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6064),-177.6308367254559,-18.740213810492758,1,130.140362739563,False,,,2,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_21-54-22,1597701262,256.46904039382935,64381,cpus,10.142.0.3,256.46904039382935,0,2,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6025),-145.36498563408503,-26.008463092197008,2,128.1305947303772,False,,,3,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_21-56-30,1597701390,384.59963512420654,64381,cpus,10.142.0.3,384.59963512420654,0,3,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.5955),-198.123846361728,-35.91465541028341,3,129.7978401184082,False,,,4,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_21-58-40,1597701520,514.3974752426147,64381,cpus,10.142.0.3,514.3974752426147,0,4,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.5766),-143.21649418160496,-43.07548011936366,4,130.98122096061707,False,,,5,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-00-51,1597701651,645.3786962032318,64381,cpus,10.142.0.3,645.3786962032318,0,5,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.5739),-190.48493182838405,-52.59972671078286,5,125.01785898208618,False,,,6,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-02-56,1597701776,770.396555185318,64381,cpus,10.142.0.3,770.396555185318,0,6,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4687),-233.09093477865758,-64.25427344971574,6,129.4888505935669,False,,,7,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-05-05,1597701905,899.8854057788849,64381,cpus,10.142.0.3,899.8854057788849,0,7,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.5932),-217.30779942834175,-75.11966342113283,7,123.35576319694519,False,,,8,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-07-09,1597702029,1023.2411689758301,64381,cpus,10.142.0.3,1023.2411689758301,0,8,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.5779),-197.44439425708336,-84.99188313398699,8,131.4469997882843,False,,,9,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-09-20,1597702160,1154.6881687641144,64381,cpus,10.142.0.3,1154.6881687641144,0,9,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4855),-197.54785782401476,-94.86927602518773,9,146.77631878852844,False,,,10,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-11-47,1597702307,1301.4644875526428,64381,cpus,10.142.0.3,1301.4644875526428,0,10,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4880),-220.09263049161183,-105.87390754976832,10,137.46365809440613,False,,,11,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-14-04,1597702444,1438.928145647049,64381,cpus,10.142.0.3,1438.928145647049,0,11,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3713),-234.65035768723322,-117.60642543412999,11,124.37981986999512,False,,,12,89eb6630d9d04fe793f7657f76a04f60,2020-08-17_22-16-09,1597702569,1563.307965517044,64381,cpus,10.142.0.3,1563.307965517044,0,12,9af74_00048,"48_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
