loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.3027),-197.17343948439924,-9.858671974219963,0,101.2436273097992,False,,,1,250ea8329b06419da6c7955c802cd742,2020-08-17_21-51-47,1597701107,101.2436273097992,64393,cpus,10.142.0.3,101.2436273097992,0,1,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6686),-175.93819665396128,-18.655581806918025,1,101.71839380264282,False,,,2,250ea8329b06419da6c7955c802cd742,2020-08-17_21-53-28,1597701208,202.96202111244202,64393,cpus,10.142.0.3,202.96202111244202,0,2,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3602),-100.63144190627868,-23.68715390223196,2,103.7473635673523,False,,,3,250ea8329b06419da6c7955c802cd742,2020-08-17_21-55-12,1597701312,306.7093846797943,64393,cpus,10.142.0.3,306.7093846797943,0,3,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3712),-142.95249055476384,-30.83477842997015,3,100.41288638114929,False,,,4,250ea8329b06419da6c7955c802cd742,2020-08-17_21-56-53,1597701413,407.1222710609436,64393,cpus,10.142.0.3,407.1222710609436,0,4,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3736),-112.71833917745694,-36.470695388843,4,100.35439848899841,False,,,5,250ea8329b06419da6c7955c802cd742,2020-08-17_21-58-33,1597701513,507.476669549942,64393,cpus,10.142.0.3,507.476669549942,0,5,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3726),-103.23268595200996,-41.6323296864435,5,102.608234167099,False,,,6,250ea8329b06419da6c7955c802cd742,2020-08-17_22-00-16,1597701616,610.084903717041,64393,cpus,10.142.0.3,610.084903717041,0,6,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2903),-161.4820150517613,-49.706430439031564,6,98.43412518501282,False,,,7,250ea8329b06419da6c7955c802cd742,2020-08-17_22-01-54,1597701714,708.5190289020538,64393,cpus,10.142.0.3,708.5190289020538,0,7,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2656),-128.41052640524862,-56.126956759294,7,99.4534125328064,False,,,8,250ea8329b06419da6c7955c802cd742,2020-08-17_22-03-33,1597701813,807.9724414348602,64393,cpus,10.142.0.3,807.9724414348602,0,8,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2883),-135.66623793308426,-62.91026865594821,8,100.72834491729736,False,,,9,250ea8329b06419da6c7955c802cd742,2020-08-17_22-05-14,1597701914,908.7007863521576,64393,cpus,10.142.0.3,908.7007863521576,0,9,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3124),-121.5324791121084,-68.98689261155363,9,97.66474509239197,False,,,10,250ea8329b06419da6c7955c802cd742,2020-08-17_22-06-52,1597702012,1006.3655314445496,64393,cpus,10.142.0.3,1006.3655314445496,0,10,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2850),-123.3224875954767,-75.15301699132746,10,103.48040509223938,False,,,11,250ea8329b06419da6c7955c802cd742,2020-08-17_22-08-35,1597702115,1109.845936536789,64393,cpus,10.142.0.3,1109.845936536789,0,11,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3704),-103.86572491768473,-80.3463032372117,11,113.47226881980896,False,,,12,250ea8329b06419da6c7955c802cd742,2020-08-17_22-10-29,1597702229,1223.318205356598,64393,cpus,10.142.0.3,1223.318205356598,0,12,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2090),-105.38875003543403,-85.6157407389834,12,111.00739932060242,False,,,13,250ea8329b06419da6c7955c802cd742,2020-08-17_22-12-20,1597702340,1334.3256046772003,64393,cpus,10.142.0.3,1334.3256046772003,0,13,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2782),-131.7265707883362,-92.20206927840022,13,113.00011849403381,False,,,14,250ea8329b06419da6c7955c802cd742,2020-08-17_22-14-13,1597702453,1447.3257231712341,64393,cpus,10.142.0.3,1447.3257231712341,0,14,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3227),-109.86457021825171,-97.69529778931279,14,98.84873795509338,False,,,15,250ea8329b06419da6c7955c802cd742,2020-08-17_22-15-52,1597702552,1546.1744611263275,64393,cpus,10.142.0.3,1546.1744611263275,0,15,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2554),-101.96342374687899,-102.79346897665673,15,96.56639313697815,False,,,16,250ea8329b06419da6c7955c802cd742,2020-08-17_22-17-28,1597702648,1642.7408542633057,64393,cpus,10.142.0.3,1642.7408542633057,0,16,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2856),-161.61543580143015,-110.87424076672824,16,97.33303689956665,False,,,17,250ea8329b06419da6c7955c802cd742,2020-08-17_22-19-06,1597702746,1740.0738911628723,64393,cpus,10.142.0.3,1740.0738911628723,0,17,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2439),-116.26449079844724,-116.6874653066506,17,97.88551950454712,False,,,18,250ea8329b06419da6c7955c802cd742,2020-08-17_22-20-43,1597702843,1837.9594106674194,64393,cpus,10.142.0.3,1837.9594106674194,0,18,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2009),-142.33002264344938,-123.80396643882307,18,97.52542400360107,False,,,19,250ea8329b06419da6c7955c802cd742,2020-08-17_22-22-21,1597702941,1935.4848346710205,64393,cpus,10.142.0.3,1935.4848346710205,0,19,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2025),-133.39459407255217,-130.47369614245068,19,98.65505123138428,False,,,20,250ea8329b06419da6c7955c802cd742,2020-08-17_22-24-00,1597703040,2034.1398859024048,64393,cpus,10.142.0.3,2034.1398859024048,0,20,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2616),-120.93914925548594,-126.661981631005,20,98.80531811714172,False,,,21,250ea8329b06419da6c7955c802cd742,2020-08-17_22-25-38,1597703138,2132.9452040195465,64393,cpus,10.142.0.3,2132.9452040195465,0,21,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2847),-136.88588611931306,-124.70936610427259,21,98.89005613327026,False,,,22,250ea8329b06419da6c7955c802cd742,2020-08-17_22-27-17,1597703237,2231.8352601528168,64393,cpus,10.142.0.3,2231.8352601528168,0,22,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2394),-126.51435220742448,-126.0035116193299,22,99.59316039085388,False,,,23,250ea8329b06419da6c7955c802cd742,2020-08-17_22-28-57,1597703337,2331.4284205436707,64393,cpus,10.142.0.3,2331.4284205436707,0,23,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2427),-121.50737823025118,-124.93125600310425,23,99.71499752998352,False,,,24,250ea8329b06419da6c7955c802cd742,2020-08-17_22-30-37,1597703437,2431.143418073654,64393,cpus,10.142.0.3,2431.143418073654,0,24,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3317),-118.51852773298769,-125.22126543088082,24,98.95504856109619,False,,,25,250ea8329b06419da6c7955c802cd742,2020-08-17_22-32-16,1597703536,2530.0984666347504,64393,cpus,10.142.0.3,2530.0984666347504,0,25,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1839),-124.16034563234207,-126.2676484148974,25,99.82445859909058,False,,,26,250ea8329b06419da6c7955c802cd742,2020-08-17_22-33-55,1597703635,2629.922925233841,64393,cpus,10.142.0.3,2629.922925233841,0,26,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2506),-127.85331851219607,-124.58621358791913,26,100.19228720664978,False,,,27,250ea8329b06419da6c7955c802cd742,2020-08-17_22-35-36,1597703736,2730.1152124404907,64393,cpus,10.142.0.3,2730.1152124404907,0,27,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2483),-92.4665701839358,-122.78901577685349,27,101.09638619422913,False,,,28,250ea8329b06419da6c7955c802cd742,2020-08-17_22-37-17,1597703837,2831.21159863472,64393,cpus,10.142.0.3,2831.21159863472,0,28,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3125),-133.52178231737693,-122.68179299606815,28,101.48579549789429,False,,,29,250ea8329b06419da6c7955c802cd742,2020-08-17_22-38-58,1597703938,2932.697394132614,64393,cpus,10.142.0.3,2932.697394132614,0,29,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3065),-114.50271950714719,-122.33030501582009,29,102.26719117164612,False,,,30,250ea8329b06419da6c7955c802cd742,2020-08-17_22-40-40,1597704040,3034.9645853042603,64393,cpus,10.142.0.3,3034.9645853042603,0,30,9af74_00049,"49_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
