loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.2931),-197.17343948439924,-9.858671974219963,0,121.22419929504395,False,,,1,159479efe28d4a30a58562583758b41c,2020-08-17_21-52-07,1597701127,121.22419929504395,64375,cpus,10.142.0.3,121.22419929504395,0,1,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6697),-177.6308367254559,-18.740213810492758,1,125.57106828689575,False,,,2,159479efe28d4a30a58562583758b41c,2020-08-17_21-54-12,1597701252,246.7952675819397,64375,cpus,10.142.0.3,246.7952675819397,0,2,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.7130),-165.57881854378948,-27.019154737682232,2,126.45307636260986,False,,,3,159479efe28d4a30a58562583758b41c,2020-08-17_21-56-19,1597701379,373.24834394454956,64375,cpus,10.142.0.3,373.24834394454956,0,3,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.5787),-196.91941421587737,-36.8651254484761,3,124.2738835811615,False,,,4,159479efe28d4a30a58562583758b41c,2020-08-17_21-58-23,1597701503,497.52222752571106,64375,cpus,10.142.0.3,497.52222752571106,0,4,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4972),-215.27183513215869,-47.62871720508404,4,129.49928307533264,False,,,5,159479efe28d4a30a58562583758b41c,2020-08-17_22-00-32,1597701632,627.0215106010437,64375,cpus,10.142.0.3,627.0215106010437,0,5,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4110),-209.02328353137628,-58.079881381652854,5,122.33701038360596,False,,,6,159479efe28d4a30a58562583758b41c,2020-08-17_22-02-35,1597701755,749.3585209846497,64375,cpus,10.142.0.3,749.3585209846497,0,6,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4837),-202.8433689042625,-68.22204982686597,6,130.1247386932373,False,,,7,159479efe28d4a30a58562583758b41c,2020-08-17_22-04-45,1597701885,879.483259677887,64375,cpus,10.142.0.3,879.483259677887,0,7,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3467),-217.06143136841564,-79.07512139528676,7,122.57602000236511,False,,,8,159479efe28d4a30a58562583758b41c,2020-08-17_22-06-48,1597702008,1002.0592796802521,64375,cpus,10.142.0.3,1002.0592796802521,0,8,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3429),-202.64097939448084,-89.2071703650108,8,129.43718266487122,False,,,9,159479efe28d4a30a58562583758b41c,2020-08-17_22-08-57,1597702137,1131.4964623451233,64375,cpus,10.142.0.3,1131.4964623451233,0,9,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2967),-217.21006726327437,-100.06767372817453,9,142.55883264541626,False,,,10,159479efe28d4a30a58562583758b41c,2020-08-17_22-11-20,1597702280,1274.0552949905396,64375,cpus,10.142.0.3,1274.0552949905396,0,10,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2922),-201.79622758001852,-110.15748510717545,10,138.27394580841064,False,,,11,159479efe28d4a30a58562583758b41c,2020-08-17_22-13-38,1597702418,1412.3292407989502,64375,cpus,10.142.0.3,1412.3292407989502,0,11,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2332),-165.1401748280786,-118.41449384857938,11,127.67770600318909,False,,,12,159479efe28d4a30a58562583758b41c,2020-08-17_22-15-45,1597702545,1540.0069468021393,64375,cpus,10.142.0.3,1540.0069468021393,0,12,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3523),-210.965842699686,-128.9627859835637,12,120.9256227016449,False,,,13,159479efe28d4a30a58562583758b41c,2020-08-17_22-17-46,1597702666,1660.9325695037842,64375,cpus,10.142.0.3,1660.9325695037842,0,13,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2091),-181.52627165572162,-138.03909956634976,13,121.42851400375366,False,,,14,159479efe28d4a30a58562583758b41c,2020-08-17_22-19-48,1597702788,1782.3610835075378,64375,cpus,10.142.0.3,1782.3610835075378,0,14,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0838),-188.84870474159726,-147.48153480342964,14,121.03447818756104,False,,,15,159479efe28d4a30a58562583758b41c,2020-08-17_22-21-49,1597702909,1903.3955616950989,64375,cpus,10.142.0.3,1903.3955616950989,0,15,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2054),-156.0377844482852,-155.28342402584389,15,122.0177755355835,False,,,16,159479efe28d4a30a58562583758b41c,2020-08-17_22-23-51,1597703031,2025.4133372306824,64375,cpus,10.142.0.3,2025.4133372306824,0,16,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0478),-175.8974037041077,-164.07829421104927,16,121.50801086425781,False,,,17,159479efe28d4a30a58562583758b41c,2020-08-17_22-25-52,1597703152,2146.92134809494,64375,cpus,10.142.0.3,2146.92134809494,0,17,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1300),-146.5348452503052,-171.40503647356454,17,121.39454650878906,False,,,18,159479efe28d4a30a58562583758b41c,2020-08-17_22-27-54,1597703274,2268.3158946037292,64375,cpus,10.142.0.3,2268.3158946037292,0,18,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2111),-152.4193265169943,-179.02600279941424,18,121.00437712669373,False,,,19,159479efe28d4a30a58562583758b41c,2020-08-17_22-29-55,1597703395,2389.320271730423,64375,cpus,10.142.0.3,2389.320271730423,0,19,9af74_00050,"50_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
