loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4486),-197.17343948439924,-9.858671974219963,0,96.49117040634155,False,,,1,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_21-51-42,1597701102,96.49117040634155,64371,cpus,10.142.0.3,96.49117040634155,0,1,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.7505),-175.93819665396128,-18.655581806918025,1,95.67745327949524,False,,,2,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_21-53-18,1597701198,192.1686236858368,64371,cpus,10.142.0.3,192.1686236858368,0,2,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6285),-130.11391639362765,-25.161277626599407,2,103.89720439910889,False,,,3,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_21-55-02,1597701302,296.0658280849457,64371,cpus,10.142.0.3,296.0658280849457,0,3,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4811),-105.24529611750452,-30.42354243247463,3,96.57243800163269,False,,,4,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_21-56-38,1597701398,392.63826608657837,64371,cpus,10.142.0.3,392.63826608657837,0,4,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4646),-91.19280780162,-34.983182822555634,4,97.42790222167969,False,,,5,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_21-58-16,1597701496,490.06616830825806,64371,cpus,10.142.0.3,490.06616830825806,0,5,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3972),-113.48081167133921,-40.65722340612259,5,98.85486197471619,False,,,6,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_21-59-54,1597701594,588.9210302829742,64371,cpus,10.142.0.3,588.9210302829742,0,6,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3314),-96.80195748279834,-45.49732128026251,6,95.91851663589478,False,,,7,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_22-01-30,1597701690,684.839546918869,64371,cpus,10.142.0.3,684.839546918869,0,7,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2655),-87.2139287653238,-49.8580177185287,7,95.24386048316956,False,,,8,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_22-03-06,1597701786,780.0834074020386,64371,cpus,10.142.0.3,780.0834074020386,0,8,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2476),-97.9433124765184,-54.75518334235462,8,98.48357558250427,False,,,9,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_22-04-44,1597701884,878.5669829845428,64371,cpus,10.142.0.3,878.5669829845428,0,9,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2058),-92.66908326750703,-59.38863750572997,9,92.72222375869751,False,,,10,c9ac138ed4344c3a8312ed1d4cb9d2dc,2020-08-17_22-06-17,1597701977,971.2892067432404,64371,cpus,10.142.0.3,971.2892067432404,0,10,9af74_00051,"51_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=True,desire_state=False,seed=27"
