loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5602),-197.17343948439924,-9.858671974219963,0,99.93120217323303,False,,,1,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_21-51-45,1597701105,99.93120217323303,64376,cpus,10.142.0.3,99.93120217323303,0,1,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.7338),-175.93819665396128,-18.655581806918025,1,99.10169649124146,False,,,2,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_21-53-25,1597701205,199.0328986644745,64376,cpus,10.142.0.3,199.0328986644745,0,2,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6109),-116.14016389322587,-24.46259000157932,2,102.80472683906555,False,,,3,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_21-55-07,1597701307,301.83762550354004,64376,cpus,10.142.0.3,301.83762550354004,0,3,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.6034),-138.45840191922906,-31.38551009754077,3,97.08643078804016,False,,,4,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_21-56-44,1597701404,398.9240562915802,64376,cpus,10.142.0.3,398.9240562915802,0,4,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4139),-142.34488415586543,-38.502754305334044,4,97.23920822143555,False,,,5,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_21-58-22,1597701502,496.16326451301575,64376,cpus,10.142.0.3,496.16326451301575,0,5,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4909),-179.2953233140234,-47.46752047103521,5,98.96818327903748,False,,,6,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-00-01,1597701601,595.1314477920532,64376,cpus,10.142.0.3,595.1314477920532,0,6,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4524),-150.8618280747849,-55.010611874774455,6,95.32745099067688,False,,,7,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-01-36,1597701696,690.4588987827301,64376,cpus,10.142.0.3,690.4588987827301,0,7,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4301),-99.87243407206145,-60.00423357837752,7,94.56063199043274,False,,,8,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-03-11,1597701791,785.0195307731628,64376,cpus,10.142.0.3,785.0195307731628,0,8,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.4163),-168.13624120935586,-68.41104563884531,8,98.63232898712158,False,,,9,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-04-49,1597701889,883.6518597602844,64376,cpus,10.142.0.3,883.6518597602844,0,9,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3257),-112.77645154905534,-74.04986821629808,9,91.9281268119812,False,,,10,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-06-21,1597701981,975.5799865722656,64376,cpus,10.142.0.3,975.5799865722656,0,10,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3741),-92.82752523188873,-78.69124447789252,10,93.57680654525757,False,,,11,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-07-55,1597702075,1069.1567931175232,64376,cpus,10.142.0.3,1069.1567931175232,0,11,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.3866),-96.15268776007971,-83.4988788658965,11,101.63901042938232,False,,,12,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-09-36,1597702176,1170.7958035469055,64376,cpus,10.142.0.3,1170.7958035469055,0,12,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2190),-80.76738519296036,-87.53724812554452,12,110.23144102096558,False,,,13,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-11-27,1597702287,1281.027244567871,64376,cpus,10.142.0.3,1281.027244567871,0,13,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2593),-88.26480399858899,-91.95048832547397,13,104.7927188873291,False,,,14,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-13-11,1597702391,1385.8199634552002,64376,cpus,10.142.0.3,1385.8199634552002,0,14,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2779),-90.97810618475656,-96.49939363471181,14,101.49457740783691,False,,,15,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-14-53,1597702493,1487.314540863037,64376,cpus,10.142.0.3,1487.314540863037,0,15,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2547),-96.68563833643451,-101.33367555153353,15,90.86215019226074,False,,,16,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-16-24,1597702584,1578.1766910552979,64376,cpus,10.142.0.3,1578.1766910552979,0,16,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2005),-89.59883010945256,-105.81361705700616,16,90.04478693008423,False,,,17,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-17-54,1597702674,1668.221477985382,64376,cpus,10.142.0.3,1668.221477985382,0,17,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2355),-55.42648990715069,-108.58494155236369,17,90.74960136413574,False,,,18,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-19-24,1597702764,1758.9710793495178,64376,cpus,10.142.0.3,1758.9710793495178,0,18,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1253),-77.8269236636877,-112.47628773554807,18,90.167964220047,False,,,19,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-20-55,1597702855,1849.1390435695648,64376,cpus,10.142.0.3,1849.1390435695648,0,19,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1734),-78.97328308200585,-116.42495188964836,19,90.4297890663147,False,,,20,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-22-25,1597702945,1939.5688326358795,64376,cpus,10.142.0.3,1939.5688326358795,0,20,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.2492),-66.59677359625513,-109.89611859524116,20,90.84550738334656,False,,,21,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-23-56,1597703036,2030.414340019226,64376,cpus,10.142.0.3,2030.414340019226,0,21,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1523),-74.81162199743176,-104.83978986241468,21,91.26848578453064,False,,,22,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-25-27,1597703127,2121.6828258037567,64376,cpus,10.142.0.3,2121.6828258037567,0,22,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1219),-49.2314457004436,-101.49435395277558,22,91.21999287605286,False,,,23,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-26-58,1597703218,2212.9028186798096,64376,cpus,10.142.0.3,2212.9028186798096,0,23,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1668),-63.367311051679835,-97.7397994093981,23,91.46515607833862,False,,,24,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-28-30,1597703310,2304.367974758148,64376,cpus,10.142.0.3,2304.367974758148,0,24,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0582),-51.97755135362068,-93.22143276928587,24,91.38324785232544,False,,,25,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-30-01,1597703401,2395.7512226104736,64376,cpus,10.142.0.3,2395.7512226104736,0,25,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0776),-65.49111233266281,-87.53122222021783,25,91.67561602592468,False,,,26,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-31-33,1597703493,2487.4268386363983,64376,cpus,10.142.0.3,2487.4268386363983,0,26,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1474),-64.78460062365806,-83.2273608476615,26,91.99416399002075,False,,,27,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-33-05,1597703585,2579.421002626419,64376,cpus,10.142.0.3,2579.421002626419,0,27,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1052),-66.28374980750081,-81.54792663443347,27,92.04045557975769,False,,,28,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-34-37,1597703677,2671.4614582061768,64376,cpus,10.142.0.3,2671.4614582061768,0,28,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0258),-58.730313708065964,-76.07763025936897,28,91.81991410255432,False,,,29,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-36-09,1597703769,2763.281372308731,64376,cpus,10.142.0.3,2763.281372308731,0,29,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0620),-54.51757674692061,-73.16468651926223,29,92.43049120903015,False,,,30,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-37-41,1597703861,2855.7118635177612,64376,cpus,10.142.0.3,2855.7118635177612,0,30,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0482),-41.418024399444995,-70.59421147764006,30,92.91060900688171,False,,,31,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-39-14,1597703954,2948.622472524643,64376,cpus,10.142.0.3,2948.622472524643,0,31,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0352),-36.414435507747314,-67.60729886502344,31,92.71300172805786,False,,,32,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-40-47,1597704047,3041.335474252701,64376,cpus,10.142.0.3,3041.335474252701,0,32,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0041),-89.44349347399401,-68.04110427907514,32,93.83725047111511,False,,,33,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-42-21,1597704141,3135.172724723816,64376,cpus,10.142.0.3,3135.172724723816,0,33,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9675),-33.07465134338962,-65.28159664631517,33,93.07635116577148,False,,,34,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-43-54,1597704234,3228.2490758895874,64376,cpus,10.142.0.3,3228.2490758895874,0,34,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9982),-33.312414009242204,-62.39831203753945,34,93.06861162185669,False,,,35,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-45-27,1597704327,3321.317687511444,64376,cpus,10.142.0.3,3321.317687511444,0,35,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.0382),-58.25867215338477,-60.47696372838696,35,93.37594604492188,False,,,36,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-47-00,1597704420,3414.693633556366,64376,cpus,10.142.0.3,3414.693633556366,0,36,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9501),-36.510056170902295,-57.82252503145945,36,93.40179228782654,False,,,37,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-48-34,1597704514,3508.0954258441925,64376,cpus,10.142.0.3,3508.0954258441925,0,37,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(1.1347),-62.70523441325821,-58.18646225676482,37,94.8761842250824,False,,,38,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-50-08,1597704608,3602.971610069275,64376,cpus,10.142.0.3,3602.971610069275,0,38,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9509),-191.1169181180585,-63.85096197948336,38,95.29072570800781,False,,,39,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-51-44,1597704704,3698.2623357772827,64376,cpus,10.142.0.3,3698.2623357772827,0,39,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.8189),-85.72488110271884,-64.18854188051901,39,97.10583686828613,False,,,40,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-53-21,1597704801,3795.368172645569,64376,cpus,10.142.0.3,3795.368172645569,0,40,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.8770),-130.15990560284922,-67.36669848084871,40,96.63486790657043,False,,,41,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-54-58,1597704898,3892.0030405521393,64376,cpus,10.142.0.3,3892.0030405521393,0,41,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9248),-164.519649569416,-71.85209985944792,41,96.5005099773407,False,,,42,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-56-34,1597704994,3988.50355052948,64376,cpus,10.142.0.3,3988.50355052948,0,42,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.8410),-190.99479530563744,-78.94026733970762,42,98.63725423812866,False,,,43,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-58-13,1597705093,4087.1408047676086,64376,cpus,10.142.0.3,4087.1408047676086,0,43,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.7950),-174.94095940110458,-84.51894975717885,43,101.05633497238159,False,,,44,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_22-59-54,1597705194,4188.19713973999,64376,cpus,10.142.0.3,4188.19713973999,0,44,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9099),-84.89780824944242,-86.16496260196995,44,97.16768050193787,False,,,45,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-01-31,1597705291,4285.364820241928,64376,cpus,10.142.0.3,4285.364820241928,0,45,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9047),-114.59582358965955,-88.62019816481978,45,98.12471890449524,False,,,46,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-03-09,1597705389,4383.489539146423,64376,cpus,10.142.0.3,4383.489539146423,0,46,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.7890),-124.71900674049036,-91.61691847066139,46,98.78887987136841,False,,,47,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-04-48,1597705488,4482.278419017792,64376,cpus,10.142.0.3,4482.278419017792,0,47,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.9129),-85.19674720121374,-92.56256834034706,47,105.29460859298706,False,,,48,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-06-33,1597705593,4587.573027610779,64376,cpus,10.142.0.3,4587.573027610779,0,48,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.7996),-64.17219064638373,-92.83466218726294,48,97.9900119304657,False,,,49,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-08-11,1597705691,4685.5630395412445,64376,cpus,10.142.0.3,4685.5630395412445,0,49,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.7258),-69.11814148530362,-93.56469042418209,49,111.97463297843933,False,,,50,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-10-03,1597705803,4797.537672519684,64376,cpus,10.142.0.3,4797.537672519684,0,50,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.7700),-117.45504015900501,-97.36654121216009,50,106.57747912406921,False,,,51,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-11-50,1597705910,4904.115151643753,64376,cpus,10.142.0.3,4904.115151643753,0,51,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.6125),-108.73314038087827,-100.98247645581662,51,109.48749589920044,False,,,52,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-13-39,1597706019,5013.6026475429535,64376,cpus,10.142.0.3,5013.6026475429535,0,52,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.6602),-57.80683545083807,-99.40064355465884,52,107.51124691963196,False,,,53,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-15-27,1597706127,5121.113894462585,64376,cpus,10.142.0.3,5121.113894462585,0,53,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.6389),-66.12560274394482,-101.0531911246866,53,107.48782253265381,False,,,54,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-17-14,1597706234,5228.601716995239,64376,cpus,10.142.0.3,5228.601716995239,0,54,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.6821),-129.23019295433136,-105.84908007194106,54,107.52107620239258,False,,,55,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-19-02,1597706342,5336.122793197632,64376,cpus,10.142.0.3,5336.122793197632,0,55,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
tensor(0.7391),-115.53603642483101,-108.71294828551336,55,102.81625318527222,False,,,56,cfa4b5c4ab4648aeafc644a3a860313f,2020-08-17_23-20-44,1597706444,5438.939046382904,64376,cpus,10.142.0.3,5438.939046382904,0,56,9af74_00053,"53_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=False,seed=27"
