loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.3742),-197.17343948439924,-9.858671974219963,0,126.11319351196289,False,,,1,240c59c2510b43e5bd260611eddff7b6,2020-08-17_21-52-12,1597701132,126.11319351196289,64358,cpus,10.142.0.3,126.11319351196289,0,1,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7699),-177.6308367254559,-18.740213810492758,1,129.43638849258423,False,,,2,240c59c2510b43e5bd260611eddff7b6,2020-08-17_21-54-21,1597701261,255.54958200454712,64358,cpus,10.142.0.3,255.54958200454712,0,2,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5456),-71.78162214079308,-22.329294917532412,2,127.28255414962769,False,,,3,240c59c2510b43e5bd260611eddff7b6,2020-08-17_21-56-28,1597701388,382.8321361541748,64358,cpus,10.142.0.3,382.8321361541748,0,3,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4197),-52.93368504105585,-24.975979169585205,3,124.4066150188446,False,,,4,240c59c2510b43e5bd260611eddff7b6,2020-08-17_21-58-33,1597701513,507.2387511730194,64358,cpus,10.142.0.3,507.2387511730194,0,4,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3857),-58.60551504488446,-27.90625492182943,4,126.77790808677673,False,,,5,240c59c2510b43e5bd260611eddff7b6,2020-08-17_22-00-40,1597701640,634.0166592597961,64358,cpus,10.142.0.3,634.0166592597961,0,5,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3216),-52.90663409708456,-30.551586626683655,5,118.19915652275085,False,,,6,240c59c2510b43e5bd260611eddff7b6,2020-08-17_22-02-38,1597701758,752.215815782547,64358,cpus,10.142.0.3,752.215815782547,0,6,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3187),-74.19262727211621,-34.26121799028947,6,126.2136824131012,False,,,7,240c59c2510b43e5bd260611eddff7b6,2020-08-17_22-04-44,1597701884,878.4294981956482,64358,cpus,10.142.0.3,878.4294981956482,0,7,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2135),-16.399413331819517,-35.08118865688044,7,118.33801531791687,False,,,8,240c59c2510b43e5bd260611eddff7b6,2020-08-17_22-06-42,1597702002,996.7675135135651,64358,cpus,10.142.0.3,996.7675135135651,0,8,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2297),-24.29297315996474,-36.29583731487868,8,125.12244153022766,False,,,9,240c59c2510b43e5bd260611eddff7b6,2020-08-17_22-08-48,1597702128,1121.8899550437927,64358,cpus,10.142.0.3,1121.8899550437927,0,9,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.0747),10.821319261820454,-35.75477135178765,9,152.0056881904602,False,,,10,240c59c2510b43e5bd260611eddff7b6,2020-08-17_22-11-20,1597702280,1273.895643234253,64358,cpus,10.142.0.3,1273.895643234253,0,10,9af74_00056,"56_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
