loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4974),-197.17343948439924,-9.858671974219963,0,100.34080004692078,False,,,1,d2e7066d8678402abcd168185dddc248,2020-08-17_21-51-46,1597701106,100.34080004692078,64374,cpus,10.142.0.3,100.34080004692078,0,1,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7227),-175.93819665396128,-18.655581806918025,1,99.32260870933533,False,,,2,d2e7066d8678402abcd168185dddc248,2020-08-17_21-53-25,1597701205,199.6634087562561,64374,cpus,10.142.0.3,199.6634087562561,0,2,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4977),-106.73251616473507,-23.99220761515478,2,105.20399045944214,False,,,3,d2e7066d8678402abcd168185dddc248,2020-08-17_21-55-10,1597701310,304.86739921569824,64374,cpus,10.142.0.3,304.86739921569824,0,3,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5531),-120.32646529278463,-30.008530879794012,3,100.75321912765503,False,,,4,d2e7066d8678402abcd168185dddc248,2020-08-17_21-56-51,1597701411,405.62061834335327,64374,cpus,10.142.0.3,405.62061834335327,0,4,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5255),-84.10466073789789,-34.213763916688904,4,99.21487522125244,False,,,5,d2e7066d8678402abcd168185dddc248,2020-08-17_21-58-30,1597701510,504.8354935646057,64374,cpus,10.142.0.3,504.8354935646057,0,5,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3917),-90.03795765061705,-38.71566179921976,5,101.96813750267029,False,,,6,d2e7066d8678402abcd168185dddc248,2020-08-17_22-00-12,1597701612,606.803631067276,64374,cpus,10.142.0.3,606.803631067276,0,6,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3474),-83.16840784302583,-42.87408219137105,6,98.49082684516907,False,,,7,d2e7066d8678402abcd168185dddc248,2020-08-17_22-01-51,1597701711,705.2944579124451,64374,cpus,10.142.0.3,705.2944579124451,0,7,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3362),-71.73543152313441,-46.46085376752777,7,97.95056295394897,False,,,8,d2e7066d8678402abcd168185dddc248,2020-08-17_22-03-29,1597701809,803.245020866394,64374,cpus,10.142.0.3,803.245020866394,0,8,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2332),-65.28883195894072,-49.72529536547481,8,99.91440606117249,False,,,9,d2e7066d8678402abcd168185dddc248,2020-08-17_22-05-09,1597701909,903.1594269275665,64374,cpus,10.142.0.3,903.1594269275665,0,9,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2675),-78.81201043707718,-53.665895887328666,9,97.09841418266296,False,,,10,d2e7066d8678402abcd168185dddc248,2020-08-17_22-06-46,1597702006,1000.2578411102295,64374,cpus,10.142.0.3,1000.2578411102295,0,10,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2107),-70.53413869935034,-57.19260282229618,10,99.27081561088562,False,,,11,d2e7066d8678402abcd168185dddc248,2020-08-17_22-08-25,1597702105,1099.528656721115,64374,cpus,10.142.0.3,1099.528656721115,0,11,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2043),-70.28852733204026,-60.7070291888982,11,109.13573718070984,False,,,12,d2e7066d8678402abcd168185dddc248,2020-08-17_22-10-14,1597702214,1208.664393901825,64374,cpus,10.142.0.3,1208.664393901825,0,12,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.1424),-68.15037608937715,-64.11454799336705,12,110.4971764087677,False,,,13,d2e7066d8678402abcd168185dddc248,2020-08-17_22-12-05,1597702325,1319.1615703105927,64374,cpus,10.142.0.3,1319.1615703105927,0,13,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.1442),-66.2301120421149,-67.4260535954728,13,109.04585266113281,False,,,14,d2e7066d8678402abcd168185dddc248,2020-08-17_22-13-54,1597702434,1428.2074229717255,64374,cpus,10.142.0.3,1428.2074229717255,0,14,9af74_00057,"57_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
