loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.4467),-197.17343948439924,-9.858671974219963,0,123.34633564949036,False,,,1,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_21-52-09,1597701129,123.34633564949036,64368,cpus,10.142.0.3,123.34633564949036,0,1,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7859),-177.6308367254559,-18.740213810492758,1,128.55294036865234,False,,,2,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_21-54-18,1597701258,251.8992760181427,64368,cpus,10.142.0.3,251.8992760181427,0,2,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6871),-58.75476130681735,-21.677951875833624,2,125.36854839324951,False,,,3,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_21-56-23,1597701383,377.2678244113922,64368,cpus,10.142.0.3,377.2678244113922,0,3,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5314),-53.823192365019395,-24.369111494084596,3,123.39247107505798,False,,,4,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_21-58-26,1597701506,500.6602954864502,64368,cpus,10.142.0.3,500.6602954864502,0,4,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5166),-28.939600739566743,-25.81609153106293,4,126.4259672164917,False,,,5,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-00-33,1597701633,627.0862627029419,64368,cpus,10.142.0.3,627.0862627029419,0,5,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4721),-68.44750873776391,-29.238466967951126,5,118.64639163017273,False,,,6,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-02-31,1597701751,745.7326543331146,64368,cpus,10.142.0.3,745.7326543331146,0,6,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7087),-42.259945461527636,-31.351464241027507,6,126.84143877029419,False,,,7,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-04-38,1597701878,872.5740931034088,64368,cpus,10.142.0.3,872.5740931034088,0,7,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6120),-56.745918250895855,-34.188760153572304,7,120.42334580421448,False,,,8,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-06-39,1597701999,992.9974389076233,64368,cpus,10.142.0.3,992.9974389076233,0,8,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6449),-91.58695453571681,-38.768107880358144,8,128.19980382919312,False,,,9,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-08-47,1597702127,1121.1972427368164,64368,cpus,10.142.0.3,1121.1972427368164,0,9,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5917),-70.51731203256216,-42.29397348198625,9,144.8253309726715,False,,,10,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-11-12,1597702272,1266.022573709488,64368,cpus,10.142.0.3,1266.022573709488,0,10,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5501),-30.126078982034915,-43.80027743108799,10,143.31909227371216,False,,,11,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-13-35,1597702415,1409.3416659832,64368,cpus,10.142.0.3,1409.3416659832,0,11,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6334),-58.64801312925006,-46.7326780875505,11,129.16654539108276,False,,,12,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-15-44,1597702544,1538.5082113742828,64368,cpus,10.142.0.3,1538.5082113742828,0,12,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7394),-46.40112594385281,-49.05273438474314,12,120.21455907821655,False,,,13,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-17-44,1597702664,1658.7227704524994,64368,cpus,10.142.0.3,1658.7227704524994,0,13,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5462),-66.98740567409587,-52.40210466844793,13,121.09293270111084,False,,,14,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-19-45,1597702785,1779.8157031536102,64368,cpus,10.142.0.3,1779.8157031536102,0,14,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4098),-47.15491482733141,-54.7598504098145,14,125.4558436870575,False,,,15,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-21-51,1597702911,1905.2715468406677,64368,cpus,10.142.0.3,1905.2715468406677,0,15,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5431),-80.99857811451683,-58.80977931554035,15,121.44635248184204,False,,,16,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-23-52,1597703032,2026.7178993225098,64368,cpus,10.142.0.3,2026.7178993225098,0,16,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6723),-46.98301757591938,-61.158930194336314,16,124.42478036880493,False,,,17,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-25-57,1597703157,2151.1426796913147,64368,cpus,10.142.0.3,2151.1426796913147,0,17,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4487),-68.81183246734571,-64.5995218177036,17,122.43008685112,False,,,18,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-27-59,1597703279,2273.5727665424347,64368,cpus,10.142.0.3,2273.5727665424347,0,18,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6327),-76.26229983017348,-68.41263680921227,18,125.96920657157898,False,,,19,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-30-05,1597703405,2399.5419731140137,64368,cpus,10.142.0.3,2399.5419731140137,0,19,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3044),-103.53187823951164,-73.58923072118786,19,124.16648435592651,False,,,20,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-32-09,1597703529,2523.70845746994,64368,cpus,10.142.0.3,2523.70845746994,0,20,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.3127),-88.29571023437654,-68.14534425868672,20,125.33676338195801,False,,,21,d4ae0aab338d4259935a7bf3336c444e,2020-08-17_22-34-15,1597703655,2649.045220851898,64368,cpus,10.142.0.3,2649.045220851898,0,21,9af74_00058,"58_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
