loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6324),-197.17343948439924,-9.858671974219963,0,100.52565336227417,False,,,1,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_21-51-46,1597701106,100.52565336227417,64359,cpus,10.142.0.3,100.52565336227417,0,1,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7845),-175.93819665396128,-18.655581806918025,1,102.43695306777954,False,,,2,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_21-53-29,1597701209,202.9626064300537,64359,cpus,10.142.0.3,202.9626064300537,0,2,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6212),-131.69841914888983,-25.240502764362514,2,105.28797721862793,False,,,3,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_21-55-14,1597701314,308.25058364868164,64359,cpus,10.142.0.3,308.25058364868164,0,3,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6091),-115.02679004145266,-30.991842266435146,3,102.02781248092651,False,,,4,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_21-56-56,1597701416,410.27839612960815,64359,cpus,10.142.0.3,410.27839612960815,0,4,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6150),-95.04364965557315,-35.74402474921381,4,101.3975281715393,False,,,5,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_21-58-37,1597701517,511.67592430114746,64359,cpus,10.142.0.3,511.67592430114746,0,5,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4792),-119.23327898536702,-41.705688698482156,5,104.49618005752563,False,,,6,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-00-22,1597701622,616.1721043586731,64359,cpus,10.142.0.3,616.1721043586731,0,6,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4856),-127.42861024746449,-48.07711921085538,6,98.23545360565186,False,,,7,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-02-00,1597701720,714.407557964325,64359,cpus,10.142.0.3,714.407557964325,0,7,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5458),-110.88653505352902,-53.62144596353183,7,100.23032593727112,False,,,8,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-03-40,1597701820,814.6378839015961,64359,cpus,10.142.0.3,814.6378839015961,0,8,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6049),-110.42975828287493,-59.14293387767558,8,101.2590959072113,False,,,9,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-05-22,1597701922,915.8969798088074,64359,cpus,10.142.0.3,915.8969798088074,0,9,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5355),-141.583521772765,-66.22210996631382,9,97.24928879737854,False,,,10,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-06-59,1597702019,1013.1462686061859,64359,cpus,10.142.0.3,1013.1462686061859,0,10,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6224),-123.78237250920722,-72.41122859177419,10,103.78702998161316,False,,,11,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-08-43,1597702123,1116.933298587799,64359,cpus,10.142.0.3,1116.933298587799,0,11,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5221),-105.59914770123449,-77.69118597683591,11,112.55775761604309,False,,,12,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-10-35,1597702235,1229.4910562038422,64359,cpus,10.142.0.3,1229.4910562038422,0,12,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4718),-108.65410868610768,-83.1238914111413,12,110.54332041740417,False,,,13,a568c6dd32554017bed6cf3d9a65adbc,2020-08-17_22-12-26,1597702346,1340.0343766212463,64359,cpus,10.142.0.3,1340.0343766212463,0,13,9af74_00059,"59_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=False,seed=27"
