loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6719),-264.51966509843027,-13.225983254921513,0,100.3944640159607,False,,,1,3b5921180f1941389a4e2137a2996d1a,2020-08-17_21-51-45,1597701105,100.3944640159607,64399,cpus,10.142.0.3,100.3944640159607,0,1,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.8572),-207.20395318170836,-23.58618091400693,1,93.47473049163818,False,,,2,3b5921180f1941389a4e2137a2996d1a,2020-08-17_21-53-18,1597701198,193.86919450759888,64399,cpus,10.142.0.3,193.86919450759888,0,2,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.7012),-129.69120173490847,-30.070741000752356,2,102.72259569168091,False,,,3,3b5921180f1941389a4e2137a2996d1a,2020-08-17_21-55-01,1597701301,296.5917901992798,64399,cpus,10.142.0.3,296.5917901992798,0,3,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5628),-101.95375197042895,-35.1684285992738,3,94.045156955719,False,,,4,3b5921180f1941389a4e2137a2996d1a,2020-08-17_21-56-35,1597701395,390.6369471549988,64399,cpus,10.142.0.3,390.6369471549988,0,4,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4979),-86.92493895607548,-39.51467554707757,4,94.02564263343811,False,,,5,3b5921180f1941389a4e2137a2996d1a,2020-08-17_21-58-09,1597701489,484.6625897884369,64399,cpus,10.142.0.3,484.6625897884369,0,5,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4178),-93.52078982390705,-44.19071503827293,5,94.62644171714783,False,,,6,3b5921180f1941389a4e2137a2996d1a,2020-08-17_21-59-44,1597701584,579.2890315055847,64399,cpus,10.142.0.3,579.2890315055847,0,6,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3793),-95.06203088407133,-48.943816582476494,6,91.15736889839172,False,,,7,3b5921180f1941389a4e2137a2996d1a,2020-08-17_22-01-15,1597701675,670.4464004039764,64399,cpus,10.142.0.3,670.4464004039764,0,7,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3508),-82.99615742008656,-53.09362445348082,7,88.80022144317627,False,,,8,3b5921180f1941389a4e2137a2996d1a,2020-08-17_22-02-44,1597701764,759.2466218471527,64399,cpus,10.142.0.3,759.2466218471527,0,8,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3206),-87.58754382846749,-57.473001644904194,8,96.26564192771912,False,,,9,3b5921180f1941389a4e2137a2996d1a,2020-08-17_22-04-20,1597701860,855.5122637748718,64399,cpus,10.142.0.3,855.5122637748718,0,9,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2719),-78.01040922609408,-61.373522106208895,9,89.61574220657349,False,,,10,3b5921180f1941389a4e2137a2996d1a,2020-08-17_22-05-50,1597701950,945.1280059814453,64399,cpus,10.142.0.3,945.1280059814453,0,10,9af74_00005,"5_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
