loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.5421),-197.17343948439924,-9.858671974219963,0,123.83054900169373,False,,,1,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_21-52-09,1597701129,123.83054900169373,64382,cpus,10.142.0.3,123.83054900169373,0,1,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.8347),-177.6308367254559,-18.740213810492758,1,127.77420997619629,False,,,2,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_21-54-17,1597701257,251.60475897789001,64382,cpus,10.142.0.3,251.60475897789001,0,2,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.9135),-64.32732302471358,-21.956579961728437,2,125.03582787513733,False,,,3,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_21-56-22,1597701382,376.64058685302734,64382,cpus,10.142.0.3,376.64058685302734,0,3,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6491),-41.875400643457304,-24.0503499939013,3,122.2794361114502,False,,,4,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_21-58-25,1597701505,498.92002296447754,64382,cpus,10.142.0.3,498.92002296447754,0,4,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5779),-38.03682299525504,-25.952191143664056,4,124.53692531585693,False,,,5,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_22-00-29,1597701629,623.4569482803345,64382,cpus,10.142.0.3,623.4569482803345,0,5,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4527),-48.78113111102578,-28.39124769921534,5,115.86936163902283,False,,,6,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_22-02-25,1597701745,739.3263099193573,64382,cpus,10.142.0.3,739.3263099193573,0,6,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.1214),-42.492804687530736,-30.515887933591877,6,123.49552702903748,False,,,7,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_22-04-28,1597701868,862.8218369483948,64382,cpus,10.142.0.3,862.8218369483948,0,7,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2127),-39.182002139563544,-32.474988040570054,7,119.70679306983948,False,,,8,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_22-06-28,1597701988,982.5286300182343,64382,cpus,10.142.0.3,982.5286300182343,0,8,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.1129),-91.61790297722999,-37.055883189431555,8,126.66697478294373,False,,,9,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_22-08-35,1597702115,1109.195604801178,64382,cpus,10.142.0.3,1109.195604801178,0,9,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.2742),-66.04166029541858,-40.35796620420248,9,137.3243489265442,False,,,10,0073cb1fcf81478c94aee5f614a6c601,2020-08-17_22-10-52,1597702252,1246.5199537277222,64382,cpus,10.142.0.3,1246.5199537277222,0,10,9af74_00060,"60_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
