loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6672),-197.17343948439924,-9.858671974219963,0,101.99894332885742,False,,,1,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_21-51-48,1597701108,101.99894332885742,64373,cpus,10.142.0.3,101.99894332885742,0,1,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.8163),-175.93819665396128,-18.655581806918025,1,100.8947024345398,False,,,2,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_21-53-29,1597701209,202.89364576339722,64373,cpus,10.142.0.3,202.89364576339722,0,2,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6810),-115.32625824303724,-24.42189471906989,2,107.47950673103333,False,,,3,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_21-55-16,1597701316,310.37315249443054,64373,cpus,10.142.0.3,310.37315249443054,0,3,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5821),-115.68754379276245,-30.20627190870801,3,101.1941819190979,False,,,4,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_21-56-57,1597701417,411.56733441352844,64373,cpus,10.142.0.3,411.56733441352844,0,4,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5575),-86.86883469957579,-34.5497136436868,4,98.35770416259766,False,,,5,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_21-58-36,1597701516,509.9250385761261,64373,cpus,10.142.0.3,509.9250385761261,0,5,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4855),-111.3787341651744,-40.11865035194552,5,100.84874272346497,False,,,6,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_22-00-17,1597701617,610.7737812995911,64373,cpus,10.142.0.3,610.7737812995911,0,6,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5370),-102.40851595168454,-45.239076149529744,6,96.20398044586182,False,,,7,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_22-01-53,1597701713,706.9777617454529,64373,cpus,10.142.0.3,706.9777617454529,0,7,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5368),-112.86791887289269,-50.88247209317438,7,96.6221911907196,False,,,8,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_22-03-29,1597701809,803.5999529361725,64373,cpus,10.142.0.3,803.5999529361725,0,8,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4330),-145.98381280660047,-58.1816627335044,8,98.01076865196228,False,,,9,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_22-05-07,1597701907,901.6107215881348,64373,cpus,10.142.0.3,901.6107215881348,0,9,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.4472),-94.97986325356244,-62.93065589618252,9,94.65298414230347,False,,,10,317dba3ac38f4b168468ab08ce80f1ee,2020-08-17_22-06-42,1597702002,996.2637057304382,64373,cpus,10.142.0.3,996.2637057304382,0,10,9af74_00061,"61_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
