loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6741),-197.17343948439924,-9.858671974219963,0,118.7013783454895,False,,,1,b060952ae1574d70ba4787450183e59e,2020-08-17_21-52-04,1597701124,118.7013783454895,64396,cpus,10.142.0.3,118.7013783454895,0,1,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.9695),-177.6308367254559,-18.740213810492758,1,121.10437870025635,False,,,2,b060952ae1574d70ba4787450183e59e,2020-08-17_21-54-06,1597701246,239.80575704574585,64396,cpus,10.142.0.3,239.80575704574585,0,2,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(2.0496),-121.94004734656153,-24.837216177820835,2,121.83091735839844,False,,,3,b060952ae1574d70ba4787450183e59e,2020-08-17_21-56-07,1597701367,361.6366744041443,64396,cpus,10.142.0.3,361.6366744041443,0,3,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7873),-83.34886519804567,-29.00465943772312,3,122.83114790916443,False,,,4,b060952ae1574d70ba4787450183e59e,2020-08-17_21-58-10,1597701490,484.4678223133087,64396,cpus,10.142.0.3,484.4678223133087,0,4,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7962),-101.05130791868602,-34.05722483365742,4,124.41327166557312,False,,,5,b060952ae1574d70ba4787450183e59e,2020-08-17_22-00-15,1597701615,608.8810939788818,64396,cpus,10.142.0.3,608.8810939788818,0,5,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.8011),-59.29367226338694,-37.02190844682677,5,120.08115315437317,False,,,6,b060952ae1574d70ba4787450183e59e,2020-08-17_22-02-15,1597701735,728.962247133255,64396,cpus,10.142.0.3,728.962247133255,0,6,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7544),-103.24848613358635,-42.184332753506084,6,125.13392853736877,False,,,7,b060952ae1574d70ba4787450183e59e,2020-08-17_22-04-20,1597701860,854.0961756706238,64396,cpus,10.142.0.3,854.0961756706238,0,7,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.7699),-109.1504806874402,-47.6418567878781,7,118.27852368354797,False,,,8,b060952ae1574d70ba4787450183e59e,2020-08-17_22-06-18,1597701978,972.3746993541718,64396,cpus,10.142.0.3,972.3746993541718,0,8,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.5769),-83.3757955126318,-51.81064656350968,8,121.09766840934753,False,,,9,b060952ae1574d70ba4787450183e59e,2020-08-17_22-08-19,1597702099,1093.4723677635193,64396,cpus,10.142.0.3,1093.4723677635193,0,9,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
tensor(1.6850),-106.91525178513044,-57.15640915276621,9,137.0765528678894,False,,,10,b060952ae1574d70ba4787450183e59e,2020-08-17_22-10-36,1597702236,1230.5489206314087,64396,cpus,10.142.0.3,1230.5489206314087,0,10,9af74_00062,"62_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=False,desire_state=False,seed=27"
