loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7326),-264.51966509843027,-13.225983254921513,0,114.3645236492157,False,,,1,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_21-51-59,1597701119,114.3645236492157,64397,cpus,10.142.0.3,114.3645236492157,0,1,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.8501),-169.7277912392848,-21.712372816885754,1,117.50848817825317,False,,,2,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_21-53-56,1597701236,231.87301182746887,64397,cpus,10.142.0.3,231.87301182746887,0,2,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.6459),-95.60887730710658,-26.492816682241084,2,118.39619517326355,False,,,3,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_21-55-55,1597701355,350.2692070007324,64397,cpus,10.142.0.3,350.2692070007324,0,3,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.6088),-123.73911442621586,-32.67977240355188,3,119.49474954605103,False,,,4,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_21-57-54,1597701474,469.76395654678345,64397,cpus,10.142.0.3,469.76395654678345,0,4,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4584),-93.81846616168596,-37.37069571163617,4,118.96963310241699,False,,,5,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_21-59-53,1597701593,588.7335896492004,64397,cpus,10.142.0.3,588.7335896492004,0,5,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5271),-123.75600596482666,-43.55849600987751,5,116.38527846336365,False,,,6,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_22-01-50,1597701710,705.1188681125641,64397,cpus,10.142.0.3,705.1188681125641,0,6,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3269),-113.77487963546498,-49.24723999165076,6,117.61000347137451,False,,,7,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_22-03-47,1597701827,822.7288715839386,64397,cpus,10.142.0.3,822.7288715839386,0,7,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2668),-117.23744060946794,-55.10911202212416,7,117.3070125579834,False,,,8,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_22-05-44,1597701944,940.035884141922,64397,cpus,10.142.0.3,940.035884141922,0,8,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2096),-122.1329486308027,-61.21575945366429,8,113.84991669654846,False,,,9,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_22-07-38,1597702058,1053.8858008384705,64397,cpus,10.142.0.3,1053.8858008384705,0,9,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3350),-152.19181746219698,-68.82535032677414,9,125.90527415275574,False,,,10,1d47feb1c16b4b23abb40f1d916c86ba,2020-08-17_22-09-44,1597702184,1179.7910749912262,64397,cpus,10.142.0.3,1179.7910749912262,0,10,9af74_00006,"6_desire_advantage=True,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
