loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7577),-264.51966509843027,-13.225983254921513,0,86.96354842185974,False,,,1,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_21-51-32,1597701092,86.96354842185974,64344,cpus,10.142.0.3,86.96354842185974,0,1,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.9351),-207.20395318170836,-23.58618091400693,1,86.7483057975769,False,,,2,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_21-52-58,1597701178,173.71185421943665,64344,cpus,10.142.0.3,173.71185421943665,0,2,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.7049),-98.91533240821896,-28.531947534417878,2,97.37182784080505,False,,,3,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_21-54-36,1597701276,271.0836820602417,64344,cpus,10.142.0.3,271.0836820602417,0,3,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5482),-90.85037924513512,-33.07446649667463,3,90.01192474365234,False,,,4,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_21-56-06,1597701366,361.09560680389404,64344,cpus,10.142.0.3,361.09560680389404,0,4,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5881),-89.49615360325353,-37.54927417683731,4,93.19763803482056,False,,,5,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_21-57-39,1597701459,454.2932448387146,64344,cpus,10.142.0.3,454.2932448387146,0,5,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.5088),-88.99233702758595,-41.998891028216605,5,91.14589786529541,False,,,6,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_21-59-10,1597701550,545.43914270401,64344,cpus,10.142.0.3,545.43914270401,0,6,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4985),-101.59771216490456,-47.07877663646183,6,94.5193088054657,False,,,7,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-00-45,1597701645,639.9584515094757,64344,cpus,10.142.0.3,639.9584515094757,0,7,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4392),-91.72030195490706,-51.664791734207185,7,88.84421420097351,False,,,8,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-02-13,1597701733,728.8026657104492,64344,cpus,10.142.0.3,728.8026657104492,0,8,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4413),-93.43882584990938,-56.33673302670265,8,92.90213704109192,False,,,9,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-03-46,1597701826,821.7048027515411,64344,cpus,10.142.0.3,821.7048027515411,0,9,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4053),-85.80304183225151,-60.62688511831523,9,91.70995020866394,False,,,10,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-05-18,1597701918,913.4147529602051,64344,cpus,10.142.0.3,913.4147529602051,0,10,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3658),-97.70747341179624,-65.51225878890503,10,90.1537275314331,False,,,11,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-06-48,1597702008,1003.5684804916382,64344,cpus,10.142.0.3,1003.5684804916382,0,11,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.4120),-91.86277209645182,-70.10539739372763,11,93.17792510986328,False,,,12,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-08-21,1597702101,1096.7464056015015,64344,cpus,10.142.0.3,1096.7464056015015,0,12,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3824),-95.5230747471139,-74.88155113108333,12,102.37958192825317,False,,,13,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-10-04,1597702204,1199.1259875297546,64344,cpus,10.142.0.3,1199.1259875297546,0,13,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3243),-87.1081839652483,-79.23696032934575,13,106.33106184005737,False,,,14,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-11-50,1597702310,1305.457049369812,64344,cpus,10.142.0.3,1305.457049369812,0,14,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3677),-99.63341632265569,-84.21863114547853,14,101.49581551551819,False,,,15,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-13-32,1597702412,1406.9528648853302,64344,cpus,10.142.0.3,1406.9528648853302,0,15,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.2471),-92.6418575250264,-88.85072402172985,15,97.1882016658783,False,,,16,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-15-09,1597702509,1504.1410665512085,64344,cpus,10.142.0.3,1504.1410665512085,0,16,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
tensor(1.3410),-79.41773058589425,-92.82161055102456,16,89.66192698478699,False,,,17,8b2c473fea6c4b3f950d99b9da2d8558,2020-08-17_22-16-38,1597702598,1593.8029935359955,64344,cpus,10.142.0.3,1593.8029935359955,0,17,9af74_00007,"7_desire_advantage=False,desire_cum_rew=False,desire_discounted_rew_to_go=False,desire_horizon=True,desire_state=True,seed=25"
