loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.6291),-264.51966509843027,-13.225983254921513,0,125.2398054599762,False,,,1,573caca505fe4ae99b63de5d5e321e15,2020-08-17_21-52-10,1597701130,125.2398054599762,64367,cpus,10.142.0.3,125.2398054599762,0,1,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.7581),-169.7277912392848,-21.712372816885754,1,124.00106930732727,False,,,2,573caca505fe4ae99b63de5d5e321e15,2020-08-17_21-54-14,1597701254,249.24087476730347,64367,cpus,10.142.0.3,249.24087476730347,0,2,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6891),-106.896772546011,-27.057211444186304,2,123.94672441482544,False,,,3,573caca505fe4ae99b63de5d5e321e15,2020-08-17_21-56-18,1597701378,373.1875991821289,64367,cpus,10.142.0.3,373.1875991821289,0,3,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5241),-165.877759699097,-35.35109942914115,3,124.31297421455383,False,,,4,573caca505fe4ae99b63de5d5e321e15,2020-08-17_21-58-22,1597701502,497.50057339668274,64367,cpus,10.142.0.3,497.50057339668274,0,4,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5115),-115.96888489114335,-41.14954367369832,4,127.10237073898315,False,,,5,573caca505fe4ae99b63de5d5e321e15,2020-08-17_22-00-29,1597701629,624.6029441356659,64367,cpus,10.142.0.3,624.6029441356659,0,5,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6643),-139.67442696216557,-48.133265021806594,5,119.43105864524841,False,,,6,573caca505fe4ae99b63de5d5e321e15,2020-08-17_22-02-29,1597701749,744.0340027809143,64367,cpus,10.142.0.3,744.0340027809143,0,6,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4777),-96.36927861168932,-52.951728952391065,6,128.242431640625,False,,,7,573caca505fe4ae99b63de5d5e321e15,2020-08-17_22-04-37,1597701877,872.2764344215393,64367,cpus,10.142.0.3,872.2764344215393,0,7,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4654),-146.3075642528443,-60.26710716503328,7,121.46596240997314,False,,,8,573caca505fe4ae99b63de5d5e321e15,2020-08-17_22-06-38,1597701998,993.7423968315125,64367,cpus,10.142.0.3,993.7423968315125,0,8,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4360),-112.29228919988313,-65.88172162502744,8,128.23434209823608,False,,,9,573caca505fe4ae99b63de5d5e321e15,2020-08-17_22-08-46,1597702126,1121.9767389297485,64367,cpus,10.142.0.3,1121.9767389297485,0,9,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.2236),-130.9917361060201,-72.43130843032844,9,140.12923979759216,False,,,10,573caca505fe4ae99b63de5d5e321e15,2020-08-17_22-11-07,1597702267,1262.1059787273407,64367,cpus,10.142.0.3,1262.1059787273407,0,10,9af74_00008,"8_desire_advantage=True,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
