loss,mean_reward,mean_reward_20_epochs,epoch,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
tensor(1.7180),-264.51966509843027,-13.225983254921513,0,98.67833042144775,False,,,1,80c83257fddc4627bd08dec30b78700c,2020-08-17_21-51-43,1597701103,98.67833042144775,64401,cpus,10.142.0.3,98.67833042144775,0,1,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.9262),-207.20395318170836,-23.58618091400693,1,93.97968626022339,False,,,2,80c83257fddc4627bd08dec30b78700c,2020-08-17_21-53-17,1597701197,192.65801668167114,64401,cpus,10.142.0.3,192.65801668167114,0,2,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6685),-107.41459561636134,-28.956910694825,2,100.82158994674683,False,,,3,80c83257fddc4627bd08dec30b78700c,2020-08-17_21-54-58,1597701298,293.47960662841797,64401,cpus,10.142.0.3,293.47960662841797,0,3,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.6850),-113.64929771103307,-34.63937558037666,3,94.14479398727417,False,,,4,80c83257fddc4627bd08dec30b78700c,2020-08-17_21-56-32,1597701392,387.62440061569214,64401,cpus,10.142.0.3,387.62440061569214,0,4,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.5111),-87.64326440823208,-39.021538800788264,4,95.21585583686829,False,,,5,80c83257fddc4627bd08dec30b78700c,2020-08-17_21-58-07,1597701487,482.8402564525604,64401,cpus,10.142.0.3,482.8402564525604,0,5,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.4357),-77.47612072972092,-42.89534483727431,5,95.86786389350891,False,,,6,80c83257fddc4627bd08dec30b78700c,2020-08-17_21-59-43,1597701583,578.7081203460693,64401,cpus,10.142.0.3,578.7081203460693,0,6,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3754),-78.15908458749661,-46.80329906664914,6,93.50608730316162,False,,,7,80c83257fddc4627bd08dec30b78700c,2020-08-17_22-01-17,1597701677,672.214207649231,64401,cpus,10.142.0.3,672.214207649231,0,7,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3871),-72.80155855357287,-50.443376994327785,7,90.12576651573181,False,,,8,80c83257fddc4627bd08dec30b78700c,2020-08-17_22-02-47,1597701767,762.3399741649628,64401,cpus,10.142.0.3,762.3399741649628,0,8,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3828),-69.69882532077158,-53.92831826036637,8,97.58014965057373,False,,,9,80c83257fddc4627bd08dec30b78700c,2020-08-17_22-04-25,1597701865,859.9201238155365,64401,cpus,10.142.0.3,859.9201238155365,0,9,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
tensor(1.3293),-70.2617894385784,-57.441407732295296,9,91.66580986976624,False,,,10,80c83257fddc4627bd08dec30b78700c,2020-08-17_22-05-56,1597701956,951.5859336853027,64401,cpus,10.142.0.3,951.5859336853027,0,10,9af74_00009,"9_desire_advantage=False,desire_cum_rew=True,desire_discounted_rew_to_go=True,desire_horizon=False,desire_state=True,seed=25"
